question_id,question,response
T1,Describe your ISO 9001 or equivalent quality certification (include certificate number and expiry date).,"ISO 9001 certification in progress, audit scheduled 2026-09"
T2,What is your current defect rate (PPM) for precision-machined steel parts?,"Current defect rate: 0.90%, equivalent to 9000 PPM. Measured against PPAP-approved control plans across the last 12 months."
T3,"List your three largest customers for similar parts, with annual volumes.","Customer A: industrial OEM, $7.4M annual; Customer B: agricultural equipment, $4.1M annual. References available on request."
T4,Describe your inspection process for machined tolerances.,"First-article inspection on every new part, AQL 1.0 sampling on production runs, CMM measurement on all critical dimensions, full SPC tracking on key features."
T5,What is your standard lead time for first article and production orders?,First article: 23 business days. Production orders: 18 business days from PO release.
T6,Describe your capacity for this category (current utilization percentage and maximum monthly units).,Current utilization: 72%. Maximum monthly capacity: 78000 units across our primary line. Surge capacity available on 30-day notice.
T7,"Do you have secondary or backup production capability? If yes, describe.",
T8,"Describe your freight and logistics capabilities to Detroit, MI.",Direct truckload service to Detroit assembly plant. On-time delivery: 90% over the last 12 months. FOB destination available; FOB origin with negotiated freight rates also offered.
T9,Provide your Dun and Bradstreet number and most recent credit rating.,D&B number: 67-890-1234. Annual revenue: $52M. Years in operation: 8. Most recent D&B PAYDEX score: 77.
T10,"Describe any value-add services (kitting, consignment, VMI) you offer.","Kitting and consignment available on line items above 10,000 units annual. VMI program optional. Engineering support for design-for-manufacturability reviews included at no charge."
