transaction_id,date,supplier_id,supplier_name,category,subcategory,description,amount_usd,po_number,cost_center,department,payment_terms,invoice_status
TXN-00447,2025-04-26,SUP015,Atlantic Carriers,logistics,expedited,expedited - Atlantic Carriers,3438.42,PO-447848,CC500,Operations,net_45,pending
TXN-00863,2025-04-26,SUP032,Metro Print Services,indirect,training,training - Metro Print Services,3956.1,PO-139673,CC400,Engineering,net_30,paid
TXN-01271,2025-04-26,SUP001,Great Lakes Steel,direct-materials,plastic resin,plastic resin - Great Lakes Steel,44519.94,PO-201576,CC100,Quality,net_45,paid
TXN-02419,2025-04-26,SUP011,Prairie Components,direct-materials,electronic components,electronic components - Prairie Components,25701.44,PO-106829,CC500,Quality,net_30,paid
TXN-00021,2025-04-27,SUP028,Clearview IT Services,indirect,office supplies,office supplies - Clearview IT Services,15184.24,PO-449759,CC200,Engineering,net_30,paid
TXN-00412,2025-04-27,SUP008,Frontier Plastics,direct-materials,wire harness,wire harness - Frontier Plastics,16450.96,PO-146177,CC100,Operations,net_30,paid
TXN-01406,2025-04-27,SUP046,Atlas Abrasives,mro,insulation,insulation - Atlas Abrasives,6490.13,PO-255863,CC200,Engineering,net_30,paid
TXN-01531,2025-04-27,SUP046,Atlas Abrasives,mro,fire detection,fire detection - Atlas Abrasives,4972.35,PO-198820,CC200,Admin,net_30,pending
TXN-02275,2025-04-27,SUP003,Pacific Aluminum,direct-materials,electronic components,electronic components - Pacific Aluminum,9346.04,PO-698673,CC300,Manufacturing,net_30,overdue
TXN-02303,2025-04-27,SUP018,Gulf Coast Shipping,logistics,warehousing,warehousing - Gulf Coast Shipping,12623.92,PO-554341,CC400,Operations,net_30,paid
TXN-00594,2025-04-28,SUP021,Patriot Trucking,logistics,ocean freight,ocean freight - Patriot Trucking,24090.5,PO-428429,CC200,Operations,net_15,paid
TXN-00774,2025-04-28,SUP032,Metro Print Services,indirect,print services,print services - Metro Print Services,15614.28,PO-737517,CC400,Operations,net_30,paid
TXN-01705,2025-04-28,SUP012,Redwood Rubber,direct-materials,polymers,polymers - Redwood Rubber,13562.92,PO-426988,CC200,Operations,net_30,paid
TXN-01843,2025-04-28,SUP028,Clearview IT Services,indirect,temp staffing,temp staffing - Clearview IT Services,10794.23,PO-899248,CC400,Manufacturing,net_30,overdue
TXN-02258,2025-04-28,SUP038,Precision Tools USA,mro,filtration,filtration - Precision Tools USA,2406.06,PO-656524,CC200,Manufacturing,net_30,paid
TXN-02359,2025-04-28,SUP036,Industrial Supply Co,mro,fire detection,fire detection - Industrial Supply Co,7364.26,PO-374315,CC300,Operations,net_30,paid
TXN-01180,2025-04-29,SUP025,Bright Spark Energy,indirect,consulting,consulting - Bright Spark Energy,4887.72,PO-480441,CC100,Manufacturing,net_45,paid
TXN-01218,2025-04-29,SUP044,LubeMax Industrial,mro,electrical,electrical - LubeMax Industrial,3942.17,PO-249623,CC400,Manufacturing,net_30,pending
TXN-01343,2025-04-29,SUP040,AquaPure Filtration,mro,hydraulic parts,hydraulic parts - AquaPure Filtration,1926.38,PO-848851,CC400,Admin,net_30,paid
TXN-02276,2025-04-29,SUP024,Pinnacle Office Solutions,indirect,temp staffing,temp staffing - Pinnacle Office Solutions,12203.83,PO-430479,CC400,Manufacturing,net_30,paid
TXN-00492,2025-04-30,SUP027,Apex Legal Partners,indirect,training,training - Apex Legal Partners,9969.14,PO-597126,CC200,Operations,net_45,paid
TXN-00528,2025-04-30,SUP007,Liberty Composites,direct-materials,raw steel,raw steel - Liberty Composites,39496.1,PO-993385,CC200,Operations,net_30,paid
TXN-01145,2025-04-30,SUP001,Great Lakes Steel,direct-materials,raw steel,raw steel - Great Lakes Steel,30525.11,PO-805383,CC200,Quality,net_45,paid
TXN-01148,2025-04-30,SUP012,Redwood Rubber,direct-materials,rubber seals,rubber seals - Redwood Rubber,39048.39,PO-230824,CC400,Engineering,net_30,pending
TXN-01174,2025-04-30,SUP039,Voltex Electrical,mro,HVAC parts,HVAC parts - Voltex Electrical,3071.75,PO-642827,CC500,Operations,net_30,paid
TXN-01297,2025-04-30,SUP038,Precision Tools USA,mro,bearings,bearings - Precision Tools USA,2166.06,PO-664441,CC400,Engineering,net_30,paid
TXN-01396,2025-04-30,SUP041,ThermaFlow HVAC,mro,insulation,insulation - ThermaFlow HVAC,4997.28,PO-930116,CC100,Admin,net_30,paid
TXN-01863,2025-04-30,SUP040,AquaPure Filtration,mro,industrial supplies,industrial supplies - AquaPure Filtration,6711.67,PO-336170,CC300,Quality,net_30,paid
TXN-02033,2025-04-30,SUP016,Midwest Express,logistics,LTL domestic,LTL domestic - Midwest Express,20135.29,PO-858232,CC100,Engineering,net_30,pending
TXN-02232,2025-04-30,SUP006,Summit Metals,direct-materials,polymers,polymers - Summit Metals,11724.41,PO-257334,CC500,Quality,net_30,paid
TXN-01033,2025-05-01,SUP044,LubeMax Industrial,mro,PPE,PPE - LubeMax Industrial,5354.27,PO-591658,CC200,Engineering,net_30,overdue
TXN-01456,2025-05-01,SUP045,ProWeld Gases,mro,hydraulic parts,hydraulic parts - ProWeld Gases,4777.38,PO-688155,CC500,Operations,net_30,paid
TXN-01719,2025-05-01,SUP013,Pinnacle Alloys,direct-materials,aluminum sheet,aluminum sheet - Pinnacle Alloys,22150.92,PO-305349,CC400,Engineering,net_45,paid
TXN-01909,2025-05-01,SUP010,Keystone Coatings,direct-materials,specialty metals,specialty metals - Keystone Coatings,32872.81,PO-767687,CC100,Admin,net_15,paid
TXN-00079,2025-05-02,SUP049,Ridgeline Hydraulics,mro,hydraulic parts,hydraulic parts - Ridgeline Hydraulics,4181.59,PO-701949,CC300,Quality,net_30,paid
TXN-00534,2025-05-02,SUP005,Cascade Fasteners,direct-materials,specialty metals,specialty metals - Cascade Fasteners,17679.68,PO-838793,CC500,Admin,net_30,paid
TXN-00848,2025-05-02,SUP010,Keystone Coatings,direct-materials,composite panels,composite panels - Keystone Coatings,27626.36,PO-402820,CC400,Quality,net_15,paid
TXN-00935,2025-05-02,SUP028,Clearview IT Services,indirect,facilities maintenance,facilities maintenance - Clearview IT Services,7598.89,PO-398477,CC300,Engineering,net_30,paid
TXN-02379,2025-05-02,SUP009,Harbor Wire,direct-materials,wire harness,wire harness - Harbor Wire,38991.08,PO-356257,CC400,Engineering,net_30,paid
TXN-00842,2025-05-03,SUP018,Gulf Coast Shipping,logistics,warehousing,warehousing - Gulf Coast Shipping,9054.78,PO-877444,CC100,Admin,net_30,paid
TXN-02050,2025-05-03,SUP041,ThermaFlow HVAC,mro,HVAC parts,HVAC parts - ThermaFlow HVAC,1620.38,PO-555481,CC200,Operations,net_30,paid
TXN-00072,2025-05-04,SUP042,BearingPoint Mechanical,mro,flooring,flooring - BearingPoint Mechanical,5838.82,PO-197573,CC300,Operations,net_30,paid
TXN-00207,2025-05-04,SUP025,Bright Spark Energy,indirect,IT services,IT services - Bright Spark Energy,17687.15,PO-474440,CC100,Engineering,net_45,paid
TXN-00254,2025-05-04,SUP046,Atlas Abrasives,mro,flooring,flooring - Atlas Abrasives,4721.93,PO-486251,CC300,Manufacturing,net_30,overdue
TXN-01628,2025-05-04,SUP046,Atlas Abrasives,mro,filtration,filtration - Atlas Abrasives,7939.78,PO-811341,CC300,Admin,net_30,paid
TXN-01690,2025-05-04,SUP035,Prism Marketing,indirect,temp staffing,temp staffing - Prism Marketing,9858.79,PO-621178,CC400,Engineering,net_15,pending
TXN-01771,2025-05-04,SUP012,Redwood Rubber,direct-materials,composite panels,composite panels - Redwood Rubber,18849.87,PO-568472,CC300,Engineering,net_30,paid
TXN-02023,2025-05-04,SUP006,Summit Metals,direct-materials,plastic resin,plastic resin - Summit Metals,21124.34,PO-752069,CC500,Quality,net_30,overdue
TXN-02193,2025-05-04,SUP028,Clearview IT Services,indirect,legal services,legal services - Clearview IT Services,16266.21,PO-946964,CC200,Admin,net_30,paid
TXN-02204,2025-05-04,SUP002,Heartland Polymers,direct-materials,electronic components,electronic components - Heartland Polymers,19638.17,PO-326041,CC400,Operations,net_45,paid
TXN-02357,2025-05-04,SUP036,Industrial Supply Co,mro,HVAC parts,HVAC parts - Industrial Supply Co,3950.18,PO-909884,CC500,Admin,net_30,paid
TXN-00512,2025-05-05,SUP049,Ridgeline Hydraulics,mro,electrical,electrical - Ridgeline Hydraulics,6749.21,PO-809621,CC100,Operations,net_30,paid
TXN-00702,2025-05-05,SUP033,Riverview Insurance,indirect,consulting,consulting - Riverview Insurance,7754.22,PO-749838,CC300,Admin,net_45,paid
