shipment_id,carrier_id,mode,from_location,to_location,total_gbp,ship_date
SH-00084,CAR012,air,Heathrow,Singapore,9368.51,2025-04-26
SH-00308,CAR010,road_ftl,Birmingham,Lyon,2362.14,2025-04-26
SH-00641,CAR003,sea_fcl,Felixstowe,Shanghai,3263.22,2025-04-26
SH-00649,CAR005,sea_fcl,Felixstowe,Singapore,2888.85,2025-04-26
SH-00771,CAR002,road_ftl,Birmingham,Munich,2957.13,2025-04-26
SH-00429,CAR005,sea_lcl,Cardiff,Naples,1889.36,2025-04-27
SH-00594,CAR018,parcel,Multiple UK,Multiple UK,14444.68,2025-04-27
SH-00666,CAR005,sea_fcl,Felixstowe,Singapore,2827.25,2025-04-27
SH-00303,CAR012,air,Heathrow,Dubai,5848.6,2025-04-28
SH-01448,CAR018,parcel,Multiple UK,Multiple UK,13501.28,2025-04-28
SH-01453,CAR010,road_ftl,Birmingham,Glasgow,1515.94,2025-04-28
SH-00004,CAR009,road_pallet_network,Birmingham,Manchester,504.99,2025-04-29
SH-00103,CAR023,sea_lcl,Cardiff,Naples,1590.19,2025-04-29
SH-00496,CAR010,road_ftl,Birmingham,Hamburg,2335.49,2025-04-29
SH-00879,CAR005,sea_lcl,Cardiff,Genoa,1654.57,2025-04-29
SH-00191,CAR003,sea_fcl,Liverpool,New York,2527.66,2025-04-30
SH-00704,CAR001,road_ftl,Birmingham,Lyon,2641.03,2025-04-30
SH-01036,CAR014,sea_fcl,Felixstowe,Shanghai,3232.48,2025-04-30
SH-00410,CAR023,sea_lcl,Cardiff,Naples,1761.44,2025-05-01
SH-01167,CAR004,air,Heathrow,Singapore,9549.05,2025-05-01
SH-00577,CAR007,road_temp_controlled,Manchester,Hamburg,3110.98,2025-05-02
SH-01183,CAR007,road_temp_controlled,Manchester,Hamburg,3096.22,2025-05-02
SH-01189,CAR004,air,Heathrow,Frankfurt,5065.35,2025-05-02
SH-01475,CAR007,road_temp_controlled,Manchester,Stockholm,3794.93,2025-05-02
SH-00224,CAR002,road_ftl,Birmingham,Antwerp,2271.08,2025-05-04
SH-00307,CAR007,road_temp_controlled,Manchester,Oslo,4196.74,2025-05-04
SH-01214,CAR010,road_ftl,Manchester,Hamburg,3166.57,2025-05-04
SH-00027,CAR009,road_pallet_network,Birmingham,Newcastle,750.21,2025-05-05
SH-00285,CAR018,parcel,Multiple UK,Multiple UK,13050.93,2025-05-05
SH-00770,CAR007,road_temp_controlled,Manchester,Oslo,4345.24,2025-05-05
SH-01042,CAR004,air,Heathrow,Dubai,6144.39,2025-05-05
SH-01106,CAR018,parcel,Multiple UK,Multiple UK,13331.06,2025-05-05
SH-01202,CAR001,road_ftl,Birmingham,Glasgow,1644.07,2025-05-05
SH-00114,CAR001,road_ftl,Birmingham,Antwerp,1959.49,2025-05-06
SH-00979,CAR023,sea_lcl,Felixstowe,Antwerp,670.63,2025-05-06
SH-00939,CAR012,air,Heathrow,Dubai,5567.32,2025-05-07
SH-01277,CAR002,road_ltl,Birmingham,Munich,1651.26,2025-05-07
SH-01279,CAR012,air,Heathrow,Singapore,9064.68,2025-05-07
SH-00792,CAR004,air,Heathrow,Frankfurt,4818.18,2025-05-08
SH-01071,CAR009,road_pallet_network,Birmingham,Manchester,430.57,2025-05-08
SH-01096,CAR003,sea_fcl,Felixstowe,Singapore,2800.79,2025-05-08
SH-01290,CAR005,sea_lcl,Cardiff,Naples,1550.78,2025-05-08
SH-00108,CAR001,road_ltl,Birmingham,Munich,1418.64,2025-05-09
SH-00223,CAR023,sea_lcl,Cardiff,Genoa,1354.96,2025-05-09
SH-00341,CAR023,sea_lcl,Cardiff,Genoa,1695.19,2025-05-09
SH-01357,CAR001,road_ftl,Birmingham,Hamburg,2698.13,2025-05-09
SH-01313,CAR007,road_temp_controlled,Manchester,Hamburg,2915.83,2025-05-10
SH-01329,CAR009,road_pallet_network,Birmingham,Glasgow,1525.94,2025-05-10
SH-01368,CAR010,road_ftl,Birmingham,Glasgow,1324.34,2025-05-10
SH-00228,CAR001,road_ltl,Manchester,Hamburg,1280.27,2025-05-11
SH-00626,CAR001,road_ltl,Birmingham,Glasgow,598.5,2025-05-11
SH-01133,CAR023,sea_lcl,Felixstowe,Antwerp,597.85,2025-05-11
SH-00035,CAR012,air,Heathrow,JFK New York,6867.4,2025-05-12
SH-00432,CAR002,road_ltl,Birmingham,Glasgow,709.65,2025-05-12
SH-00795,CAR018,parcel,Multiple UK,Multiple UK,14521.56,2025-05-12
SH-00658,CAR010,road_ftl,Birmingham,Lyon,2506.16,2025-05-13
SH-00676,CAR007,road_temp_controlled,Manchester,Oslo,4502.78,2025-05-13
SH-00968,CAR005,sea_fcl,Felixstowe,Singapore,3168.81,2025-05-13
SH-00596,CAR005,sea_lcl,Cardiff,Genoa,1765.58,2025-05-14
SH-00894,CAR009,road_pallet_network,Birmingham,Newcastle,697.62,2025-05-14
SH-01363,CAR005,sea_fcl,Liverpool,New York,2621.28,2025-05-14
SH-00398,CAR001,road_ftl,Birmingham,Antwerp,2228.12,2025-05-15
SH-01112,CAR003,sea_fcl,Felixstowe,Singapore,2856.12,2025-05-15
