transaction_id,date,supplier_id,supplier_name,category,amount_usd,po_number,cost_center
TXN007001,2026-03-27,SUP001,Great Lakes Steel,raw-materials,6127.56,PO-46048,CC-200
TXN007002,2026-03-27,SUP003,Pacific Aluminum,raw-materials,11718.08,PO-81482,CC-100
TXN007003,2026-03-27,SUP004,Apex Electronics,raw-materials,3559.35,PO-22280,CC-200
TXN007004,2026-03-27,SUP006,Summit Metals,raw-materials,5390.11,PO-95181,CC-400
TXN007005,2026-03-27,SUP008,Frontier Plastics,raw-materials,4167.71,PO-10851,CC-200
TXN007006,2026-03-27,SUP011,Continental Freight,logistics,9294.17,PO-30379,CC-200
TXN007007,2026-03-27,SUP012,Patriot Logistics,logistics,7449.21,PO-22156,CC-400
TXN007008,2026-03-27,SUP012,Patriot Logistics,logistics,4971.56,PO-55082,CC-300
TXN007009,2026-03-27,SUP013,Eagle Transport,logistics,8334.71,PO-80284,CC-100
TXN007010,2026-03-27,SUP014,Horizon Carriers,logistics,4620.71,PO-82357,CC-300
TXN007011,2026-03-27,SUP014,Horizon Carriers,logistics,7350.64,PO-91070,CC-300
TXN007012,2026-03-27,SUP015,Summit Shipping,logistics,5431.02,PO-16006,CC-200
TXN007013,2026-03-27,SUP016,Gateway Freight,logistics,5122.81,PO-40512,CC-100
TXN007014,2026-03-27,SUP022,CloudBridge Systems,it-services,10851.67,PO-31319,CC-300
TXN007015,2026-03-27,SUP024,Pinnacle Software,it-services,5804.25,PO-99593,CC-100
TXN007016,2026-03-27,SUP025,DataVault Analytics,it-services,2177.34,PO-42087,CC-200
TXN007017,2026-03-27,SUP026,CyberShield Security,it-services,1981.62,PO-93886,CC-200
TXN007018,2026-03-27,SUP031,National Facilities Group,facilities,9617.96,PO-17331,CC-200
TXN007019,2026-03-27,SUP032,Metro Building Services,facilities,7626.87,PO-62581,CC-300
TXN007020,2026-03-27,SUP034,Atlas HVAC,facilities,3728.95,PO-51245,CC-200
TXN007021,2026-03-27,SUP034,Atlas HVAC,facilities,4074.73,PO-61856,CC-400
TXN007022,2026-03-27,SUP041,Whitfield Consulting,professional-services,8552.72,PO-86622,CC-400
TXN007023,2026-03-27,SUP042,Sterling Advisory,professional-services,5864.01,PO-38746,CC-200
TXN007024,2026-03-27,SUP043,Meridian Legal,professional-services,2709.84,PO-16175,CC-100
TXN007025,2026-03-27,SUP046,Catalyst Training,professional-services,2445.84,PO-60432,CC-400
TXN007026,2026-03-27,SUP047,Blueprint Marketing,professional-services,1579.18,PO-42953,CC-100
TXN007027,2026-03-27,SUP048,Ironside Recruiting,professional-services,675.59,PO-80381,CC-300
TXN007028,2026-03-27,SUP049,Northstar Audit,professional-services,748.62,PO-48469,CC-400
TXN007029,2026-03-27,SUP052,Agile Platforms,it-services,1887.89,PO-75612,CC-200
TXN007030,2026-03-27,SUP053,Heritage Painting,facilities,367.26,PO-91959,CC-300
TXN007031,2026-03-27,SUP054,Precision Plumbing,facilities,1207.63,PO-36071,CC-200
TXN007032,2026-03-28,SUP003,Pacific Aluminum,raw-materials,14431.26,PO-10074,CC-300
TXN007033,2026-03-28,SUP003,Pacific Aluminum,raw-materials,9641.32,PO-24662,CC-300
TXN007034,2026-03-28,SUP004,Apex Electronics,raw-materials,10396.7,PO-50306,CC-200
TXN007035,2026-03-28,SUP006,Summit Metals,raw-materials,7588.1,PO-21226,CC-400
TXN007036,2026-03-28,SUP007,Liberty Composites,raw-materials,5823.71,PO-79822,CC-200
TXN007037,2026-03-28,SUP011,Continental Freight,logistics,11981.04,PO-44741,CC-400
TXN007038,2026-03-28,SUP012,Patriot Logistics,logistics,13567.13,PO-36365,CC-300
TXN007039,2026-03-28,SUP012,Patriot Logistics,logistics,8093.7,PO-98039,CC-300
TXN007040,2026-03-28,SUP013,Eagle Transport,logistics,6747.9,PO-25860,CC-200
TXN007041,2026-03-28,SUP016,Gateway Freight,logistics,2298.92,PO-38864,CC-100
TXN007042,2026-03-28,SUP022,CloudBridge Systems,it-services,5463.18,PO-14117,CC-300
TXN007043,2026-03-28,SUP025,DataVault Analytics,it-services,2346.19,PO-27342,CC-400
TXN007044,2026-03-28,SUP031,National Facilities Group,facilities,6203.26,PO-22363,CC-100
TXN007045,2026-03-28,SUP032,Metro Building Services,facilities,4737.14,PO-63883,CC-400
TXN007046,2026-03-28,SUP033,Greenfield Maintenance,facilities,2187.92,PO-95649,CC-100
TXN007047,2026-03-28,SUP035,Cornerstone Electric,facilities,3799.16,PO-24322,CC-200
TXN007048,2026-03-28,SUP041,Whitfield Consulting,professional-services,4859.77,PO-34050,CC-300
TXN007049,2026-03-28,SUP042,Sterling Advisory,professional-services,9417.39,PO-19880,CC-400
TXN007050,2026-03-28,SUP043,Meridian Legal,professional-services,7069.62,PO-22833,CC-100
TXN007051,2026-03-28,SUP044,Crestline Accounting,professional-services,3954.29,PO-11934,CC-100
TXN007052,2026-03-28,SUP045,Vanguard Staffing,professional-services,4172.98,PO-31798,CC-400
TXN007053,2026-03-28,SUP045,Vanguard Staffing,professional-services,2944.57,PO-38016,CC-400
TXN007054,2026-03-28,SUP046,Catalyst Training,professional-services,1369.37,PO-10282,CC-400
TXN007055,2026-03-28,SUP046,Catalyst Training,professional-services,1620.1,PO-69638,CC-300
TXN007056,2026-03-28,SUP047,Blueprint Marketing,professional-services,2485.33,PO-82845,CC-400
TXN007057,2026-03-28,SUP050,Clearpath Compliance,professional-services,755.19,PO-81066,CC-100
TXN007058,2026-03-28,SUP050,Clearpath Compliance,professional-services,887.45,PO-17492,CC-100
TXN007059,2026-03-28,SUP051,Redstone Cloud,it-services,1137.9,PO-79615,CC-200
TXN007060,2026-03-28,SUP053,Heritage Painting,facilities,924.43,PO-18981,CC-100
TXN007061,2026-03-28,SUP054,Precision Plumbing,facilities,838.88,PO-25713,CC-200
TXN007062,2026-03-29,SUP001,Great Lakes Steel,raw-materials,6347.92,PO-20745,CC-400
TXN007063,2026-03-29,SUP002,Heartland Polymers,raw-materials,12855.4,PO-51467,CC-300
TXN007064,2026-03-29,SUP004,Apex Electronics,raw-materials,5327.95,PO-61876,CC-200
TXN007065,2026-03-29,SUP005,Cascade Fasteners,raw-materials,4389.02,PO-51441,CC-100
TXN007066,2026-03-29,SUP007,Liberty Composites,raw-materials,4050.06,PO-23104,CC-100
TXN007067,2026-03-29,SUP008,Frontier Plastics,raw-materials,3108.21,PO-27361,CC-300
TXN007068,2026-03-29,SUP011,Continental Freight,logistics,16205.44,PO-58434,CC-300
