po_number,supplier_id,item,units,total_usd,po_date
PO-DM-00090,SUP029,chip B,881,10342.94,2025-04-26
PO-DM-00639,SUP029,chip C,69,1484.19,2025-04-26
PO-DM-00677,SUP007,stamped bracket,90,1923.3,2025-04-26
PO-DM-00686,SUP013,forged steel arm,310,51112.8,2025-04-26
PO-DM-00926,SUP020,compression spring 25mm,1285,1323.55,2025-04-26
PO-DM-01040,SUP010,aluminum gear housing,1159,192486.72,2025-04-26
PO-DM-01269,SUP001,steel coil,354,440301.66,2025-04-26
PO-DM-01661,SUP037,plastic pellets,1186,1790.86,2025-04-26
PO-DM-01662,SUP039,casting bracket,1387,219215.35,2025-04-26
PO-DM-00048,SUP020,circlip 12mm,170,25.5,2025-04-27
PO-DM-00627,SUP031,steel sheets,517,573492.59,2025-04-27
PO-DM-00704,SUP013,forged steel arm,364,53737.32,2025-04-27
PO-DM-01272,SUP019,copper bar,193,61534.19,2025-04-27
PO-DM-01719,SUP004,chip B,136,1561.28,2025-04-27
PO-DM-01866,SUP028,anodizing service batch,726,466462.26,2025-04-27
PO-DM-02115,SUP002,aluminum sheet,588,71536.08,2025-04-27
PO-DM-02218,SUP011,steel coil,1495,1821418.3,2025-04-27
PO-DM-01141,SUP001,steel coil,1071,1279395.18,2025-04-28
PO-DM-01559,SUP008,machined bracket,938,42303.8,2025-04-28
PO-DM-01690,SUP001,steel coil,1140,1313268.6,2025-04-28
PO-DM-02243,SUP007,stamped bracket,158,3292.72,2025-04-28
PO-DM-00109,SUP013,forged steel hub,1229,271436.94,2025-04-29
PO-DM-00932,SUP015,memory chip 8GB,61,1199.87,2025-04-29
PO-DM-01163,SUP011,steel plate,1176,975574.32,2025-04-29
PO-DM-01596,SUP042,machined housing,901,125446.23,2025-04-29
PO-DM-01861,SUP019,brass sheet,69,6589.5,2025-04-29
PO-DM-01862,SUP031,steel sheets,248,229119.76,2025-04-29
PO-DM-02265,SUP029,chip A,666,6333.66,2025-04-29
PO-DM-02398,SUP048,steel plate,1151,1173559.6,2025-04-29
PO-DM-00202,SUP007,stamped clip,991,7967.64,2025-04-30
PO-DM-00486,SUP003,plastic resin,189,425.25,2025-04-30
PO-DM-01094,SUP006,plastic pellets,158,240.16,2025-04-30
PO-DM-01606,SUP015,memory chip 8GB,692,14718.84,2025-04-30
PO-DM-01671,SUP030,plastic resin,1296,2553.12,2025-04-30
PO-DM-01760,SUP013,forged steel hub,675,209884.5,2025-04-30
PO-DM-02074,SUP001,steel coil,240,329899.2,2025-04-30
PO-DM-02095,SUP035,precision shaft,1483,240423.96,2025-04-30
PO-DM-02223,SUP044,forged hub,1441,348203.24,2025-04-30
PO-DM-02239,SUP048,steel coil,640,639737.6,2025-04-30
PO-DM-02347,SUP041,composite tube,997,182899.65,2025-04-30
PO-DM-00431,SUP048,steel coil,1242,1583922.6,2025-05-01
PO-DM-01073,SUP043,molded part A,1386,17311.14,2025-05-01
PO-DM-01232,SUP011,steel sheets,753,781056.78,2025-05-01
PO-DM-01601,SUP038,PCB assembly type B,110,19042.1,2025-05-01
PO-DM-01794,SUP010,aluminum gear housing,394,44904.18,2025-05-01
PO-DM-02153,SUP044,forged shaft,379,42967.23,2025-05-01
PO-DM-02172,SUP037,plastic resin,69,122.82,2025-05-01
PO-DM-02187,SUP041,composite panel,109,30328.16,2025-05-01
PO-DM-02320,SUP045,bearing 6204,525,4683.0,2025-05-01
PO-DM-02486,SUP043,molded part A,833,6447.42,2025-05-01
PO-DM-00148,SUP048,steel plate,1055,781797.2,2025-05-02
PO-DM-01814,SUP017,polypropylene resin,1081,2064.71,2025-05-02
PO-DM-01975,SUP038,PCB assembly type A,368,42102.88,2025-05-02
PO-DM-01991,SUP012,plastic pellets,278,330.82,2025-05-02
PO-DM-00218,SUP049,brass valve body,234,18514.08,2025-05-03
PO-DM-00472,SUP007,stamped bracket,731,13333.44,2025-05-03
PO-DM-00611,SUP035,precision shaft,84,11654.16,2025-05-03
PO-DM-01563,SUP031,steel coil,229,230440.41,2025-05-03
PO-DM-02378,SUP021,stamped bracket,418,10980.86,2025-05-03
PO-DM-00139,SUP031,steel plate,1055,927629.85,2025-05-04
PO-DM-00237,SUP003,plastic pellets,537,875.31,2025-05-04
PO-DM-00324,SUP017,polypropylene resin,1073,2060.16,2025-05-04
PO-DM-00396,SUP041,composite tube,1202,288431.92,2025-05-04
PO-DM-00488,SUP031,steel plate,1039,1001294.69,2025-05-04
PO-DM-01799,SUP046,diecast bracket,538,26900.0,2025-05-04
PO-DM-02015,SUP007,stamped clip,411,3308.55,2025-05-04
PO-DM-02355,SUP033,casting body,580,126451.6,2025-05-04
PO-DM-00028,SUP023,composite panel,1276,388261.28,2025-05-05
PO-DM-01092,SUP023,composite panel,1473,591674.64,2025-05-05
PO-DM-01584,SUP011,steel sheets,1190,1031099.3,2025-05-05
PO-DM-02180,SUP027,galvanized steel sheet,1230,1301967.3,2025-05-05
PO-DM-02316,SUP023,composite tube,1446,457977.12,2025-05-05
PO-DM-00120,SUP001,steel sheets,556,511397.68,2025-05-06
PO-DM-01576,SUP047,plastic pellets,968,1674.64,2025-05-06
PO-DM-02030,SUP007,stamped clip,1335,13817.25,2025-05-06
PO-DM-02432,SUP024,aluminum bracket,77,2448.6,2025-05-06
PO-DM-00994,SUP035,precision sleeve,897,55353.87,2025-05-07
