supplier_id,supplier_name,category,annual_spend_usd,emission_factor_kg_co2_per_usd,estimated_scope3_tons
SUP001,Great Lakes Steel,raw-materials,4200000,0.8,3360.0
SUP002,Heartland Polymers,raw-materials,3800000,0.9,3420.0
SUP003,Pacific Aluminum,raw-materials,3100000,1.0,3100.0
SUP004,Continental Freight,logistics,3600000,1.2,4320.0
SUP005,Patriot Logistics,logistics,2900000,1.3,3770.0
SUP006,Summit Components,components,2400000,0.8,1920.0
SUP007,TechForward Solutions,it-services,2800000,0.3,840.0
SUP008,Eagle Transport,logistics,520000,1.4,728.0
SUP009,National Facilities,facilities,2200000,0.4,880.0
SUP010,Metro Building Svcs,facilities,1800000,0.4,720.0
SUP011,Whitfield Consulting,professional-services,2600000,0.2,520.0
SUP012,Cascade Fasteners,components,1800000,0.7,1260.0
SUP013,Summit Metals,raw-materials,1600000,0.9,1440.0
SUP014,Greenfield Maintenance,facilities,1400000,0.3,420.0
SUP015,SafeGuard Fire,facilities,900000,0.5,450.0
