GR_ID,PO_ID,GR_DATE,SUPPLIER_ID,SUPPLIER_NAME,ITEM_CODE,PO_QTY,GR_QTY,QUALITY_ACCEPTED
GR-0000,PO-0000,2025-12-16,SUPP-07,Acme Components Inc,WRNCH-022,694,694,Yes
GR-0001,PO-0001,2026-02-28,SUPP-55,CloudNine Hosting,SVR-3050,59,48,Yes
GR-0002,PO-0002,2025-12-12,SUPP-08,Atlantic Steel Co,ALUM-SQF,309,309,Yes
GR-0003,PO-0003,2025-12-07,SUPP-02,Globex Supply Co,CHIP-A12,842,842,Yes
GR-0004,PO-0004,2025-11-28,SUPP-09,Beacon Professional Services,AUDIT-DAY,6,7,Yes
GR-0005,PO-0006,2026-03-29,SUPP-02,Globex Supply Co,BRKT-1144,1531,1376,Yes
GR-0006,PO-0007,2026-01-19,SUPP-13,Eagle Mechanical Supply,FILT-0088,661,661,Yes
GR-0007,PO-0008,2026-02-12,SUPP-02,Globex Supply Co,CABL-2201,836,836,Yes
GR-0008,PO-0009,2026-04-19,SUPP-53,OfficeMax Local,TONER-77,111,95,Yes
GR-0009,PO-0011,2025-12-30,SUPP-05,Summit Office Solutions,TONER-77,95,95,Yes
GR-0010,PO-0012,2026-04-02,SUPP-02,Globex Supply Co,CABL-2201,165,165,Yes
GR-0011,PO-0014,2026-03-06,SUPP-08,Atlantic Steel Co,STEEL-T01,262,262,Yes
GR-0012,PO-0016,2025-11-07,SUPP-10,Cornerstone Facilities Group,HVAC-VST,9,7,No
GR-0013,PO-0017,2026-03-21,SUPP-03,Pinnacle Filtration LLC,FILT-0088,95,95,Yes
GR-0014,PO-0018,2025-12-24,SUPP-13,Eagle Mechanical Supply,BELT-V40,383,383,Yes
GR-0015,PO-0022,2025-12-09,SUPP-55,CloudNine Hosting,LAPTOP-X1,2,2,Yes
GR-0016,PO-0025,2025-12-02,SUPP-09,Beacon Professional Services,AUDIT-DAY,3,3,Yes
GR-0017,PO-0026,2026-03-17,SUPP-55,CloudNine Hosting,SVR-3050,2,2,Yes
GR-0018,PO-0027,2025-11-19,SUPP-14,Redwood Office Products,CHAIR-EX,35,30,Yes
GR-0019,PO-0028,2026-01-16,SUPP-08,Atlantic Steel Co,STEEL-T01,11,9,Yes
GR-0020,PO-0029,2026-01-05,SUPP-18,Riverside Electronic Components,BRKT-1144,48,48,Yes
GR-0021,PO-0030,2026-04-25,SUPP-18,Riverside Electronic Components,RESI-100,5560,5560,Yes
GR-0022,PO-0033,2026-01-22,SUPP-02,Globex Supply Co,RESI-100,24466,24466,Yes
GR-0023,PO-0034,2026-02-20,SUPP-13,Eagle Mechanical Supply,FILT-0088,2550,2550,Yes
GR-0024,PO-0038,2026-03-13,SUPP-05,Summit Office Solutions,PAPR-0501,73,73,Yes
GR-0025,PO-0039,2026-02-04,SUPP-55,CloudNine Hosting,MNTR-2701,9,9,Yes
GR-0026,PO-0040,2026-01-16,SUPP-18,Riverside Electronic Components,BRKT-1144,5693,5693,Yes
GR-0027,PO-0042,2025-11-20,SUPP-53,OfficeMax Local,PAPR-0501,44,44,No
GR-0028,PO-0043,2026-01-27,SUPP-14,Redwood Office Products,PAPR-0501,49,53,Yes
GR-0029,PO-0044,2026-03-30,SUPP-12,Liberty IT Hardware Corp,RTR-A55,129,129,Yes
GR-0030,PO-0046,2026-04-25,SUPP-05,Summit Office Solutions,TONER-77,162,162,Yes
GR-0031,PO-0047,2026-01-24,SUPP-18,Riverside Electronic Components,RESI-100,87816,68569,Yes
GR-0032,PO-0049,2025-12-19,SUPP-56,Ironclad Hardware,RESI-100,2773,2773,Yes
GR-0033,PO-0051,2025-12-20,SUPP-53,OfficeMax Local,PAPR-0501,81,72,Yes
GR-0034,PO-0053,2025-12-03,SUPP-01,Cascade Cable Systems,RTR-A55,20,20,Yes
GR-0035,PO-0054,2026-03-09,SUPP-12,Liberty IT Hardware Corp,SVR-3050,34,34,Yes
GR-0036,PO-0055,2026-03-04,SUPP-07,Acme Components Inc,BELT-V40,96,96,Yes
GR-0037,PO-0057,2026-03-03,SUPP-18,Riverside Electronic Components,RESI-100,275109,275109,Yes
GR-0038,PO-0058,2026-02-06,SUPP-20,Vanguard Office Supply Co,CHAIR-EX,2,2,Yes
GR-0039,PO-0059,2025-11-30,SUPP-11,Patriot Freight Lines,FRGHT-MIL,570,570,Yes
GR-0040,PO-0060,2026-01-28,SUPP-09,Beacon Professional Services,LEGAL-HR,80,80,Yes
GR-0041,PO-0062,2026-04-15,SUPP-03,Pinnacle Filtration LLC,BELT-V40,73,73,Yes
GR-0042,PO-0063,2026-04-25,SUPP-18,Riverside Electronic Components,BRKT-1144,767,767,Yes
GR-0043,PO-0065,2025-12-09,SUPP-08,Atlantic Steel Co,STEEL-T01,4,4,Yes
GR-0044,PO-0066,2026-01-30,SUPP-19,Crestline Network Hardware,MNTR-2701,537,414,Yes
GR-0045,PO-0067,2026-02-20,SUPP-18,Riverside Electronic Components,CABL-2201,4253,4803,Yes
GR-0046,PO-0068,2026-01-31,SUPP-14,Redwood Office Products,CHAIR-EX,221,221,Yes
GR-0047,PO-0069,2026-01-15,SUPP-11,Patriot Freight Lines,EXPED-HR,1781,1781,Yes
GR-0048,PO-0071,2025-12-14,SUPP-01,Cascade Cable Systems,MNTR-2701,6,6,Yes
GR-0049,PO-0072,2026-04-18,SUPP-12,Liberty IT Hardware Corp,SVR-3050,9,9,Yes
GR-0050,PO-0073,2026-04-25,SUPP-04,Northwind Industrial LLC,BRKT-1144,125,125,Yes
GR-0051,PO-0074,2025-12-22,SUPP-08,Atlantic Steel Co,POLY-RES,29,29,Yes
GR-0052,PO-0075,2025-12-02,SUPP-19,Crestline Network Hardware,SVR-3050,13,13,Yes
GR-0053,PO-0076,2025-12-29,SUPP-02,Globex Supply Co,CHIP-A12,140,140,Yes
GR-0054,PO-0078,2026-01-28,SUPP-10,Cornerstone Facilities Group,CLEAN-SF,739,739,Yes
GR-0055,PO-0080,2025-11-22,SUPP-04,Northwind Industrial LLC,RESI-100,4462,4462,Yes
GR-0056,PO-0081,2026-01-08,SUPP-08,Atlantic Steel Co,ALUM-SQF,715,561,No
GR-0057,PO-0082,2026-04-20,SUPP-03,Pinnacle Filtration LLC,WRNCH-022,8573,7931,Yes
GR-0058,PO-0083,2026-01-04,SUPP-18,Riverside Electronic Components,CABL-2201,335,335,Yes
GR-0059,PO-0084,2026-04-25,SUPP-53,OfficeMax Local,CHAIR-EX,500,500,Yes
GR-0060,PO-0085,2026-04-25,SUPP-56,Ironclad Hardware,CABL-2201,1387,1387,Yes
GR-0061,PO-0086,2025-12-18,SUPP-14,Redwood Office Products,PAPR-0501,1585,1585,Yes
GR-0062,PO-0087,2026-04-25,SUPP-14,Redwood Office Products,CHAIR-EX,9,8,Yes
GR-0063,PO-0089,2026-03-18,SUPP-19,Crestline Network Hardware,MNTR-2701,10,10,Yes
GR-0064,PO-0090,2026-04-20,SUPP-19,Crestline Network Hardware,RTR-A55,8,6,Yes
GR-0065,PO-0091,2026-04-03,SUPP-17,Sterling Building Services,HVAC-VST,2,2,Yes
GR-0066,PO-0092,2025-12-15,SUPP-12,Liberty IT Hardware Corp,RTR-A55,20,20,Yes
GR-0067,PO-0094,2026-04-25,SUPP-55,CloudNine Hosting,MNTR-2701,20,20,Yes
GR-0068,PO-0096,2025-12-20,SUPP-04,Northwind Industrial LLC,CABL-2201,2753,2753,Yes
GR-0069,PO-0099,2026-02-27,SUPP-12,Liberty IT Hardware Corp,SVR-3050,15,15,Yes
GR-0070,PO-0100,2026-01-05,SUPP-20,Vanguard Office Supply Co,CHAIR-EX,45,45,Yes
GR-0071,PO-0101,2026-03-10,SUPP-04,Northwind Industrial LLC,CABL-2201,1139,989,Yes
GR-0072,PO-0103,2025-12-20,SUPP-14,Redwood Office Products,CHAIR-EX,5,5,Yes
GR-0073,PO-0105,2026-03-04,SUPP-14,Redwood Office Products,CHAIR-EX,2,2,Yes
GR-0074,PO-0106,2026-01-29,SUPP-13,Eagle Mechanical Supply,BELT-V40,1942,1942,Yes
GR-0075,PO-0107,2026-04-25,SUPP-11,Patriot Freight Lines,EXPED-HR,33,33,No
GR-0076,PO-0109,2025-12-15,SUPP-08,Atlantic Steel Co,POLY-RES,4035,4035,Yes
GR-0077,PO-0111,2026-03-19,SUPP-16,Apex Polymer Group,POLY-RES,512,512,Yes
GR-0078,PO-0112,2026-04-18,SUPP-19,Crestline Network Hardware,SVR-3050,2,2,Yes
GR-0079,PO-0117,2026-01-27,SUPP-16,Apex Polymer Group,ALUM-SQF,779,779,Yes
GR-0080,PO-0118,2026-03-07,SUPP-02,Globex Supply Co,RESI-100,78001,78001,Yes
GR-0081,PO-0119,2026-03-29,SUPP-51,QuickParts Direct,WRNCH-022,637,579,Yes
GR-0082,PO-0120,2026-02-08,SUPP-14,Redwood Office Products,CHAIR-EX,9,9,Yes
GR-0083,PO-0121,2026-04-02,SUPP-18,Riverside Electronic Components,CHIP-A12,37,31,Yes
GR-0084,PO-0122,2026-01-23,SUPP-17,Sterling Building Services,HVAC-VST,31,31,Yes
GR-0085,PO-0123,2026-01-20,SUPP-05,Summit Office Solutions,CHAIR-EX,15,15,Yes
GR-0086,PO-0124,2026-01-07,SUPP-56,Ironclad Hardware,CABL-2201,119,119,Yes
GR-0087,PO-0125,2025-12-28,SUPP-54,TempForce Staffing,AUDIT-DAY,9,7,Yes
GR-0088,PO-0126,2025-11-27,SUPP-01,Cascade Cable Systems,LAPTOP-X1,8,8,Yes
GR-0089,PO-0127,2026-02-05,SUPP-01,Cascade Cable Systems,MNTR-2701,14,14,Yes
