contract_id,supplier_id,supplier_name,title,start_date,end_date,annual_value_usd,total_value_usd,auto_renew,notice_period_days,status
CTR-001,SUP001,Great Lakes Steel,Great Lakes Steel - Direct Materials Agreement,2024-08-21,2026-07-11,4200000,4200000,yes,30,expiring_soon
CTR-002,SUP002,Heartland Polymers,Heartland Polymers - Direct Materials Agreement,2025-03-18,2026-06-28,3800000,3800000,yes,90,expiring_soon
CTR-003,SUP003,Pacific Aluminum,Pacific Aluminum - Direct Materials Agreement,2025-04-07,2026-06-01,3100000,9300000,no,30,expiring_soon
CTR-004,SUP004,Apex Electronics,Apex Electronics - Direct Materials Agreement,2024-07-25,2026-07-13,2400000,7200000,no,30,expiring_soon
CTR-005,SUP005,Cascade Fasteners,Cascade Fasteners - Direct Materials Agreement,2023-09-11,2024-09-11,1800000,1800000,no,60,expired
CTR-006,SUP006,Summit Metals,Summit Metals - Direct Materials Agreement,2025-01-16,2026-01-16,1600000,1600000,yes,60,expired
CTR-007,SUP007,Liberty Composites,Liberty Composites - Direct Materials Agreement,2025-07-15,2026-07-15,1200000,1200000,no,30,expiring_soon
CTR-008,SUP008,Frontier Plastics,Frontier Plastics - Direct Materials Agreement,2024-10-25,2026-02-25,980000,1960000,no,30,expired
CTR-009,SUP009,Harbor Wire,Harbor Wire - Direct Materials Agreement,2023-10-11,2025-10-11,760000,1520000,yes,60,expired
CTR-010,SUP011,Prairie Components,Prairie Components - Direct Materials Agreement,2025-08-08,2026-03-29,680000,2040000,no,90,expired
CTR-011,SUP012,Redwood Rubber,Redwood Rubber - Direct Materials Agreement,2024-02-02,2026-02-02,520000,1040000,yes,90,expired
CTR-012,SUP013,Pinnacle Alloys,Pinnacle Alloys - Direct Materials Agreement,2025-08-17,2026-08-17,1400000,1400000,yes,60,active
CTR-013,SUP014,Continental Freight,Continental Freight - Logistics Agreement,2025-08-07,2026-08-07,2800000,2800000,yes,60,active
CTR-014,SUP015,Atlantic Carriers,Atlantic Carriers - Logistics Agreement,2025-01-16,2027-01-16,2200000,4400000,no,30,active
CTR-015,SUP016,Midwest Express,Midwest Express - Logistics Agreement,2024-10-13,2026-10-13,1600000,3200000,yes,90,active
CTR-016,SUP017,Pacific Logistics,Pacific Logistics - Logistics Agreement,2025-01-27,2028-01-27,1200000,3600000,yes,90,active
