Supplier_ID,Supplier_Name,Quarter,Quality_Score,Delivery_Score,Responsiveness_Score,Cost_Score,Overall_Score
SUP001,Great Lakes Steel,Q2 2025,79,81,78,77,79
SUP001,Great Lakes Steel,Q3 2025,80,79,79,78,79
SUP001,Great Lakes Steel,Q4 2025,78,80,80,79,79
SUP001,Great Lakes Steel,Q1 2026,81,80,79,78,80
SUP002,Heartland Polymers,Q2 2025,88,85,90,86,87
SUP002,Heartland Polymers,Q3 2025,90,91,92,88,90
SUP002,Heartland Polymers,Q4 2025,92,93,93,89,92
SUP002,Heartland Polymers,Q1 2026,93,94,94,90,93
SUP003,Pacific Aluminum,Q2 2025,75,78,76,80,77
SUP003,Pacific Aluminum,Q3 2025,78,79,78,79,78
SUP003,Pacific Aluminum,Q4 2025,80,81,79,78,80
SUP003,Pacific Aluminum,Q1 2026,81,80,80,79,80
SUP004,Apex Electronics,Q2 2025,86,84,85,82,84
SUP004,Apex Electronics,Q3 2025,85,83,86,82,84
SUP004,Apex Electronics,Q4 2025,64,68,67,65,66
SUP004,Apex Electronics,Q1 2026,65,66,68,64,66
SUP005,Cascade Fasteners,Q2 2025,76,77,75,78,77
SUP005,Cascade Fasteners,Q3 2025,77,78,76,77,77
SUP005,Cascade Fasteners,Q4 2025,78,77,77,78,78
SUP005,Cascade Fasteners,Q1 2026,79,78,78,77,78
SUP006,Continental Freight,Q2 2025,86,88,89,84,87
SUP006,Continental Freight,Q3 2025,88,89,90,85,88
SUP006,Continental Freight,Q4 2025,90,91,91,86,90
SUP006,Continental Freight,Q1 2026,91,92,92,87,91
SUP007,Patriot Logistics,Q2 2025,78,80,79,77,79
SUP007,Patriot Logistics,Q3 2025,79,81,80,78,80
SUP007,Patriot Logistics,Q4 2025,80,82,81,78,80
SUP007,Patriot Logistics,Q1 2026,81,82,81,79,81
SUP008,Eagle Transport,Q2 2025,73,75,74,76,75
SUP008,Eagle Transport,Q3 2025,74,76,75,76,75
SUP008,Eagle Transport,Q4 2025,75,76,75,75,75
SUP008,Eagle Transport,Q1 2026,76,77,76,75,76
SUP009,Horizon Carriers,Q2 2025,70,72,71,73,72
SUP009,Horizon Carriers,Q3 2025,71,73,72,72,72
SUP009,Horizon Carriers,Q4 2025,72,73,72,72,72
SUP009,Horizon Carriers,Q1 2026,73,74,73,72,73
SUP010,Coastal Coatings,Q2 2025,71,70,73,72,72
SUP010,Coastal Coatings,Q3 2025,70,69,72,71,71
SUP010,Coastal Coatings,Q4 2025,70,70,71,71,71
SUP010,Coastal Coatings,Q1 2026,70,70,71,71,71
SUP011,TechForward Solutions,Q2 2025,87,86,88,84,86
SUP011,TechForward Solutions,Q3 2025,89,88,90,85,88
SUP011,TechForward Solutions,Q4 2025,91,90,91,86,90
SUP011,TechForward Solutions,Q1 2026,92,91,92,87,91
SUP012,CloudBridge Systems,Q2 2025,80,81,82,78,80
SUP012,CloudBridge Systems,Q3 2025,81,82,83,79,81
SUP012,CloudBridge Systems,Q4 2025,82,83,83,79,82
SUP012,CloudBridge Systems,Q1 2026,83,83,84,80,83
SUP013,Nexus IT Services,Q2 2025,74,76,75,73,75
SUP013,Nexus IT Services,Q3 2025,73,74,74,72,73
SUP013,Nexus IT Services,Q4 2025,60,61,63,60,61
SUP013,Nexus IT Services,Q1 2026,60,60,62,59,60
SUP014,Pinnacle Software,Q2 2025,76,77,78,75,76
SUP014,Pinnacle Software,Q3 2025,77,78,78,75,77
SUP014,Pinnacle Software,Q4 2025,78,78,79,76,78
SUP014,Pinnacle Software,Q1 2026,79,79,80,76,79
SUP015,Frontier Machining,Q2 2025,72,70,73,71,72
SUP015,Frontier Machining,Q3 2025,71,69,72,70,71
SUP015,Frontier Machining,Q4 2025,69,67,71,69,69
SUP015,Frontier Machining,Q1 2026,70,68,71,69,70
SUP016,National Facilities,Q2 2025,81,83,82,79,81
SUP016,National Facilities,Q3 2025,82,84,83,80,82
SUP016,National Facilities,Q4 2025,83,84,84,80,83
SUP016,National Facilities,Q1 2026,83,85,84,81,84
SUP017,Metro Building Svcs,Q2 2025,75,76,75,77,76
SUP017,Metro Building Svcs,Q3 2025,76,77,76,77,76
SUP017,Metro Building Svcs,Q4 2025,77,77,77,77,77
SUP017,Metro Building Svcs,Q1 2026,77,78,77,76,77
SUP018,Whitfield Consulting,Q2 2025,84,83,85,80,83
SUP018,Whitfield Consulting,Q3 2025,85,84,86,81,84
SUP018,Whitfield Consulting,Q4 2025,85,84,86,81,84
SUP018,Whitfield Consulting,Q1 2026,86,85,86,82,85
SUP019,Sterling Advisory,Q2 2025,78,79,80,76,78
SUP019,Sterling Advisory,Q3 2025,79,80,81,77,79
SUP019,Sterling Advisory,Q4 2025,80,80,81,77,80
SUP019,Sterling Advisory,Q1 2026,81,81,82,78,81
SUP020,Meridian Legal,Q2 2025,76,77,78,75,77
