PO_ID,LINE_NUMBER,REQ_ID,PO_DATE,SUPPLIER_ID,SUPPLIER_NAME,CATEGORY,ITEM_CODE,QUANTITY,PO_UNIT_PRICE,LINE_TOTAL,DEPT,REQUESTER,STATUS
PO-0000,1,REQ-0180,2025-12-11,SUPP-07,Acme Components Inc,MRO Supplies,WRNCH-022,694,28.75,19952.50,IT,W. Espinoza,Open
PO-0001,1,REQ-0476,2026-02-19,SUPP-55,CloudNine Hosting,IT Hardware,SVR-3050,59,1450.00,85550.00,HR,N. Caruso,Open
PO-0002,1,REQ-0393,2025-11-12,SUPP-08,Atlantic Steel Co,Raw Materials,ALUM-SQF,309,14.40,4449.60,Sales,S. Obi,Open
PO-0003,1,REQ-0152,2025-11-30,SUPP-02,Globex Supply Co,Components,CHIP-A12,842,18.40,15492.80,IT,Z. Donovan,Open
PO-0004,1,REQ-0377,2025-11-21,SUPP-09,Beacon Professional Services,Professional Services,AUDIT-DAY,6,1850.00,11100.00,Facilities,E. Calloway,Open
PO-0005,1,REQ-0002,2026-04-05,SUPP-12,Liberty IT Hardware Corp,IT Hardware,RTR-A55,1,485.00,485.00,IT,N. Caruso,Open
PO-0006,1,REQ-0256,2026-03-23,SUPP-02,Globex Supply Co,Components,BRKT-1144,1531,24.15,36973.65,Sales,D. Holloway,Open
PO-0007,1,REQ-0119,2025-12-26,SUPP-13,Eagle Mechanical Supply,MRO Supplies,FILT-0088,661,84.00,55524.00,Sales,B. Sutherland,Open
PO-0008,1,REQ-0470,2026-01-30,SUPP-02,Globex Supply Co,Components,CABL-2201,836,12.80,10700.80,Procurement,N. Caruso,Open
PO-0009,1,REQ-0296,2026-04-07,SUPP-53,OfficeMax Local,Office Supplies,TONER-77,111,145.00,16095.00,Engineering,A. Fontaine,Open
PO-0010,1,REQ-0147,2025-12-01,SUPP-07,Acme Components Inc,MRO Supplies,BELT-V40,2005,41.50,83207.50,Finance,R. Tanaka,Open
PO-0011,1,REQ-0435,2025-12-07,SUPP-05,Summit Office Solutions,Office Supplies,TONER-77,95,145.00,13775.00,Sales,W. Espinoza,Open
PO-0012,1,REQ-0299,2026-03-24,SUPP-02,Globex Supply Co,Components,CABL-2201,165,12.80,2112.00,Facilities,Q. Strickland,Open
PO-0013,1,REQ-0125,2025-12-29,SUPP-10,Cornerstone Facilities Group,Facilities,CLEAN-SF,9818,1.40,13745.20,IT,S. Obi,Open
PO-0014,1,REQ-0202,2026-02-07,SUPP-08,Atlantic Steel Co,Raw Materials,STEEL-T01,262,720.00,188640.00,Engineering,D. Holloway,Open
PO-0015,1,REQ-0083,2026-01-18,SUPP-55,CloudNine Hosting,IT Hardware,MNTR-2701,261,320.00,83520.00,HR,R. Tanaka,Open
PO-0016,1,REQ-0126,2025-11-04,SUPP-10,Cornerstone Facilities Group,Facilities,HVAC-VST,9,425.00,3825.00,Engineering,P. Aldridge,Open
PO-0017,1,REQ-0017,2026-03-15,SUPP-03,Pinnacle Filtration LLC,MRO Supplies,FILT-0088,95,84.00,7980.00,Facilities,O. Beaumont,Open
PO-0018,1,REQ-0445,2025-12-11,SUPP-13,Eagle Mechanical Supply,MRO Supplies,BELT-V40,383,41.50,15894.50,Engineering,R. Tanaka,Open
PO-0019,1,REQ-0039,2026-03-11,SUPP-09,Beacon Professional Services,Professional Services,CONS-HR,25,175.00,4375.00,IT,A. Fontaine,Open
PO-0020,1,REQ-0408,2026-03-14,SUPP-08,Atlantic Steel Co,Raw Materials,STEEL-T01,6,720.00,4320.00,IT,N. Caruso,Open
