supplier_id,supplier_name,quarter,quality_score,delivery_score,responsiveness_score,cost_score,innovation_score,overall_score
SUP001,Great Lakes Steel,2025-Q3,80,85,72,77,64,77.5
SUP001,Great Lakes Steel,2025-Q4,90,71,78,69,79,77.6
SUP001,Great Lakes Steel,2026-Q1,74,86,94,89,87,85.3
SUP001,Great Lakes Steel,2026-Q2,93,93,82,77,88,87.1
SUP002,Heartland Polymers,2025-Q3,93,87,75,88,63,83.9
SUP002,Heartland Polymers,2025-Q4,84,71,85,92,65,80.7
SUP002,Heartland Polymers,2026-Q1,94,84,71,85,75,83.2
SUP002,Heartland Polymers,2026-Q2,77,72,82,86,66,77.5
SUP003,Pacific Aluminum,2025-Q3,78,84,93,87,83,84.8
SUP003,Pacific Aluminum,2025-Q4,78,88,88,83,90,84.7
SUP003,Pacific Aluminum,2026-Q1,77,96,68,75,65,78.3
SUP003,Pacific Aluminum,2026-Q2,77,74,86,83,89,80.5
SUP004,Apex Electronics,2025-Q3,91,76,91,78,88,84.4
SUP004,Apex Electronics,2025-Q4,67,85,73,82,62,75.2
SUP004,Apex Electronics,2026-Q1,58,74,61,56,61,62.5
SUP004,Apex Electronics,2026-Q2,58,59,55,57,62,57.9
SUP005,Cascade Fasteners,2025-Q3,94,77,93,83,87,86.7
SUP005,Cascade Fasteners,2025-Q4,89,76,78,82,90,82.2
SUP005,Cascade Fasteners,2026-Q1,81,78,81,68,75,77.1
SUP005,Cascade Fasteners,2026-Q2,95,90,82,88,83,88.5
SUP006,Summit Metals,2025-Q3,87,77,73,90,72,80.8
SUP006,Summit Metals,2025-Q4,81,77,68,83,70,76.7
SUP006,Summit Metals,2026-Q1,80,97,76,83,85,84.6
SUP006,Summit Metals,2026-Q2,96,85,87,87,83,88.4
SUP007,Liberty Composites,2025-Q3,75,75,82,84,86,79.3
SUP007,Liberty Composites,2025-Q4,75,78,89,73,77,78.4
SUP007,Liberty Composites,2026-Q1,89,83,90,84,93,87.1
SUP007,Liberty Composites,2026-Q2,100,98,95,100,75,96.0
SUP008,Frontier Plastics,2025-Q3,87,92,94,75,64,85.0
SUP008,Frontier Plastics,2025-Q4,90,87,84,72,64,81.9
SUP008,Frontier Plastics,2026-Q1,76,70,93,86,84,80.7
SUP008,Frontier Plastics,2026-Q2,75,74,93,76,72,78.2
SUP009,Harbor Wire,2025-Q3,95,95,91,92,61,90.2
SUP009,Harbor Wire,2025-Q4,89,76,73,66,88,77.8
SUP009,Harbor Wire,2026-Q1,73,78,92,82,75,80.1
SUP009,Harbor Wire,2026-Q2,91,95,89,93,74,90.3
SUP010,Keystone Coatings,2025-Q3,88,86,84,92,78,86.5
SUP010,Keystone Coatings,2025-Q4,86,81,89,71,82,82.0
SUP010,Keystone Coatings,2026-Q1,95,93,90,93,71,90.7
SUP010,Keystone Coatings,2026-Q2,93,86,79,70,67,81.2
SUP011,Prairie Components,2025-Q3,92,87,80,94,61,85.6
SUP011,Prairie Components,2025-Q4,84,76,82,80,73,79.7
SUP011,Prairie Components,2026-Q1,100,82,100,93,97,93.8
SUP011,Prairie Components,2026-Q2,87,96,82,88,98,89.5
SUP012,Redwood Rubber,2025-Q3,78,97,91,83,88,87.4
SUP012,Redwood Rubber,2025-Q4,74,70,92,69,80,76.2
SUP012,Redwood Rubber,2026-Q1,90,75,92,94,83,86.8
SUP012,Redwood Rubber,2026-Q2,90,93,79,86,60,84.8
SUP013,Pinnacle Alloys,2025-Q3,74,79,74,80,68,75.8
SUP013,Pinnacle Alloys,2025-Q4,92,97,91,81,66,88.2
SUP013,Pinnacle Alloys,2026-Q1,73,89,94,71,89,82.4
SUP013,Pinnacle Alloys,2026-Q2,72,88,81,80,62,78.4
SUP014,Continental Freight,2025-Q3,78,91,86,80,62,81.7
SUP014,Continental Freight,2025-Q4,91,73,72,77,61,76.9
SUP014,Continental Freight,2026-Q1,92,74,91,69,63,79.8
SUP014,Continental Freight,2026-Q2,78,75,71,92,81,79.0
SUP015,Atlantic Carriers,2025-Q3,94,84,81,79,84,84.9
SUP015,Atlantic Carriers,2025-Q4,93,74,69,68,79,77.1
SUP015,Atlantic Carriers,2026-Q1,96,93,89,67,63,84.8
SUP015,Atlantic Carriers,2026-Q2,75,82,80,68,64,75.2
