item_id,item_description,supplier_id,supplier_name,category,annual_spend_usd,unit_cost,annual_volume,single_source,criticality
ITEM-0001,Steel plate 4mm,SUP001,Great Lakes Steel,raw-materials,840000,387.5,2200,yes,high
ITEM-0002,Steel bar 12mm,SUP002,Heartland Polymers,raw-materials,570000.0,412.75,1800,no,high
ITEM-0003,Polymer resin A,SUP003,Pacific Aluminum,raw-materials,310000.0,156.2,4500,no,medium
ITEM-0004,Polymer resin B,SUP004,Apex Electronics,components,192000.0,188.4,3600,no,medium
ITEM-0005,Aluminum sheet 2mm,SUP005,Cascade Fasteners,raw-materials,108000.0,245.0,1500,no,low
ITEM-0006,Aluminum extrusion,SUP006,Continental Freight,logistics,180000.0,198.3,2800,no,high
ITEM-0007,Microcontroller ARM,SUP007,Patriot Logistics,logistics,145000.0,32.1,14000,no,medium
ITEM-0008,Capacitor 100uF,SUP008,Eagle Transport,logistics,84000.0,4.85,88000,no,low
ITEM-0009,Fastener M6,SUP009,TechForward Solutions,it-services,112000.0,2.15,420000,no,medium
ITEM-0010,Fastener M10,SUP010,CloudBridge Systems,it-services,75000.0,3.4,280000,no,medium
ITEM-0011,Freight Chicago-NY,SUP011,Nexus IT Services,it-services,57000.0,1450.0,290,no,high
ITEM-0012,Freight Houston-LA,SUP012,National Facilities,facilities,66000.0,1620.0,240,no,medium
ITEM-0013,Aluminum sheet 2mm,SUP003,Pacific Aluminum,raw-materials,620000,0.85,580000,yes,high
ITEM-0014,Software license,SUP014,Whitfield Consulting,professional-services,52000.0,14500.0,30,no,low
ITEM-0015,Janitorial service,SUP015,Sterling Advisory,professional-services,42000.0,95.0,4800,no,medium
ITEM-0016,HVAC maintenance,SUP016,Summit Metals,raw-materials,32000.0,165.0,2400,no,low
ITEM-0017,Consulting hours,SUP017,Liberty Composites,raw-materials,24000.0,275.0,900,no,high
ITEM-0018,Legal review,SUP018,Frontier Plastics,raw-materials,9800.0,380.0,320,no,medium
ITEM-0019,Staffing temp,SUP019,Horizon Carriers,logistics,17000.0,62.0,7200,no,low
ITEM-0020,Fire inspection,SUP020,Pinnacle Software,it-services,15000.0,825.0,170,no,medium
ITEM-0021,Steel plate 4mm,SUP021,Greenfield Maint.,facilities,280000.0,387.5,2200,no,high
ITEM-0022,Steel bar 12mm,SUP022,Meridian Legal,professional-services,240000.0,412.75,1800,no,high
ITEM-0023,Polymer resin A,SUP023,Crestline Accounting,professional-services,120000.0,156.2,4500,no,medium
ITEM-0024,Polymer resin B,SUP024,Vanguard Staffing,professional-services,76000.0,188.4,3600,no,medium
ITEM-0025,Microcontroller ARM,SUP004,Apex Electronics,components,480000,245.0,1500,yes,critical
ITEM-0026,Aluminum extrusion,SUP001,Great Lakes Steel,raw-materials,210000.0,198.3,2800,no,high
ITEM-0027,Microcontroller ARM,SUP002,Heartland Polymers,raw-materials,190000.0,32.1,14000,no,medium
ITEM-0028,Capacitor 100uF,SUP003,Pacific Aluminum,raw-materials,124000.0,4.85,88000,no,low
ITEM-0029,Fastener M6,SUP004,Apex Electronics,components,96000.0,2.15,420000,no,medium
ITEM-0030,Fastener M10,SUP005,Cascade Fasteners,raw-materials,54000.0,3.4,280000,no,medium
ITEM-0031,Freight Chicago-NY,SUP006,Continental Freight,logistics,108000.0,1450.0,290,no,high
ITEM-0032,Freight Houston-LA,SUP007,Patriot Logistics,logistics,87000.0,1620.0,240,no,medium
ITEM-0033,Cloud hosting,SUP008,Eagle Transport,logistics,63000.0,0.85,580000,no,high
ITEM-0034,Software license,SUP009,TechForward Solutions,it-services,56000.0,14500.0,30,no,low
ITEM-0035,Janitorial service,SUP010,CloudBridge Systems,it-services,50000.0,95.0,4800,no,medium
ITEM-0036,HVAC maintenance,SUP011,Nexus IT Services,it-services,38000.0,165.0,2400,no,low
ITEM-0037,Cloud hosting,SUP010,CloudBridge Systems,it-services,500000,275.0,900,yes,high
ITEM-0038,Legal review,SUP013,Metro Building Svcs,facilities,18000.0,380.0,320,no,medium
ITEM-0039,Staffing temp,SUP014,Whitfield Consulting,professional-services,26000.0,62.0,7200,no,low
ITEM-0040,Fire inspection,SUP015,Sterling Advisory,professional-services,21000.0,825.0,170,no,medium
ITEM-0041,Steel plate 4mm,SUP016,Summit Metals,raw-materials,320000.0,387.5,2200,no,high
ITEM-0042,Steel bar 12mm,SUP017,Liberty Composites,raw-materials,180000.0,412.75,1800,no,high
ITEM-0043,Polymer resin A,SUP018,Frontier Plastics,raw-materials,98000.0,156.2,4500,no,medium
ITEM-0044,Polymer resin B,SUP019,Horizon Carriers,logistics,136000.0,188.4,3600,no,medium
ITEM-0045,Aluminum sheet 2mm,SUP020,Pinnacle Software,it-services,90000.0,245.0,1500,no,low
ITEM-0046,Aluminum extrusion,SUP021,Greenfield Maint.,facilities,70000.0,198.3,2800,no,high
ITEM-0047,Microcontroller ARM,SUP022,Meridian Legal,professional-services,80000.0,32.1,14000,no,medium
ITEM-0048,Capacitor 100uF,SUP023,Crestline Accounting,professional-services,48000.0,4.85,88000,no,low
ITEM-0049,Fire inspection,SUP025,SafeGuard Fire,facilities,140000,2.15,420000,yes,medium
ITEM-0050,Fastener M10,SUP025,SafeGuard Fire,facilities,21000.0,3.4,280000,no,medium
ITEM-0051,Freight Chicago-NY,SUP001,Great Lakes Steel,raw-materials,126000.0,1450.0,290,no,high
ITEM-0052,Freight Houston-LA,SUP002,Heartland Polymers,raw-materials,114000.0,1620.0,240,no,medium
ITEM-0053,Cloud hosting,SUP003,Pacific Aluminum,raw-materials,93000.0,0.85,580000,no,high
ITEM-0054,Software license,SUP004,Apex Electronics,components,48000.0,14500.0,30,no,low
ITEM-0055,Janitorial service,SUP005,Cascade Fasteners,raw-materials,36000.0,95.0,4800,no,medium
ITEM-0056,HVAC maintenance,SUP006,Continental Freight,logistics,72000.0,165.0,2400,no,low
ITEM-0057,Consulting hours,SUP007,Patriot Logistics,logistics,58000.0,275.0,900,no,high
ITEM-0058,Legal review,SUP008,Eagle Transport,logistics,21000.0,380.0,320,no,medium
ITEM-0059,Staffing temp,SUP009,TechForward Solutions,it-services,28000.0,62.0,7200,no,low
ITEM-0060,Fire inspection,SUP010,CloudBridge Systems,it-services,25000.0,825.0,170,no,medium
ITEM-0061,Steel plate 4mm,SUP011,Nexus IT Services,it-services,380000.0,387.5,2200,no,high
ITEM-0062,Steel bar 12mm,SUP012,National Facilities,facilities,330000.0,412.75,1800,no,high
ITEM-0063,Polymer resin A,SUP013,Metro Building Svcs,facilities,180000.0,156.2,4500,no,medium
ITEM-0064,Polymer resin B,SUP014,Whitfield Consulting,professional-services,208000.0,188.4,3600,no,medium
ITEM-0065,Aluminum sheet 2mm,SUP015,Sterling Advisory,professional-services,126000.0,245.0,1500,no,low
ITEM-0066,Aluminum extrusion,SUP016,Summit Metals,raw-materials,80000.0,198.3,2800,no,high
ITEM-0067,Microcontroller ARM,SUP017,Liberty Composites,raw-materials,60000.0,32.1,14000,no,medium
