shipment_id,carrier_id,from_location,to_location,total_usd,ship_date
SH-LOG-00050,CAR007,JFK,Singapore,9502.04,2025-04-26
SH-LOG-01009,CAR014,Long Beach,Hong Kong,3383.98,2025-04-26
SH-LOG-01683,CAR003,JFK,Singapore,9495.72,2025-04-26
SH-LOG-01738,CAR013,Chicago,Houston,2882.59,2025-04-26
SH-LOG-02709,CAR009,Long Beach,Singapore,3004.95,2025-04-26
SH-LOG-03838,CAR009,Long Beach,Singapore,3163.76,2025-04-26
SH-LOG-04140,CAR011,Long Beach,Singapore,3158.45,2025-04-26
SH-LOG-04337,CAR020,Denver,Salt Lake City,3716.31,2025-04-26
SH-LOG-04673,CAR003,O'Hare,Dallas-Fort Worth,5084.33,2025-04-26
SH-LOG-04751,CAR006,Long Beach,Singapore,2903.17,2025-04-26
SH-LOG-00928,CAR001,Dallas,Atlanta,2885.9,2025-04-27
SH-LOG-01075,CAR009,Long Beach,Shanghai,3299.61,2025-04-27
SH-LOG-01433,CAR003,JFK,Singapore,9446.44,2025-04-27
SH-LOG-01536,CAR013,Dallas,San Antonio,2486.94,2025-04-27
SH-LOG-01646,CAR009,Long Beach,Hong Kong,3558.0,2025-04-27
SH-LOG-02134,CAR011,Long Beach,Singapore,3236.48,2025-04-27
SH-LOG-02474,CAR016,Dallas,Atlanta,2454.82,2025-04-27
SH-LOG-02521,CAR011,Long Beach,Hong Kong,3361.29,2025-04-27
SH-LOG-02636,CAR017,Long Beach,Hong Kong,3250.68,2025-04-27
SH-LOG-02803,CAR013,Dallas,San Antonio,2395.27,2025-04-27
SH-LOG-02887,CAR009,Savannah,Rotterdam,1423.0,2025-04-27
SH-LOG-03129,CAR002,Long Beach,Hong Kong,3196.23,2025-04-27
SH-LOG-03376,CAR009,Savannah,Rotterdam,1746.71,2025-04-27
SH-LOG-03393,CAR010,Chicago,Houston,3076.95,2025-04-27
SH-LOG-03644,CAR011,Newark,Hamburg,2456.98,2025-04-27
SH-LOG-04204,CAR015,JFK,Los Angeles,7750.75,2025-04-27
SH-LOG-04873,CAR014,Newark,Hamburg,2473.35,2025-04-27
SH-LOG-04977,CAR020,Los Angeles,Phoenix,3215.95,2025-04-27
SH-LOG-01155,CAR002,Savannah,Rotterdam,1748.18,2025-04-28
SH-LOG-01327,CAR015,JFK,Singapore,8896.94,2025-04-28
SH-LOG-02419,CAR009,Newark,Hamburg,2455.61,2025-04-28
SH-LOG-02808,CAR002,Long Beach,Hong Kong,3351.0,2025-04-28
SH-LOG-03090,CAR013,Chicago,Milwaukee,1753.07,2025-04-28
SH-LOG-03390,CAR019,O'Hare,Dallas-Fort Worth,5071.07,2025-04-28
SH-LOG-03461,CAR007,JFK,Los Angeles,7274.84,2025-04-28
SH-LOG-03583,CAR011,Newark,Hamburg,2834.5,2025-04-28
SH-LOG-03688,CAR001,Denver,Salt Lake City,4373.87,2025-04-28
SH-LOG-04626,CAR019,JFK,Dubai,6197.93,2025-04-28
SH-LOG-04805,CAR005,Detroit,Cleveland,302.57,2025-04-28
SH-LOG-04851,CAR012,Denver,Salt Lake City,3848.33,2025-04-28
SH-LOG-00382,CAR020,Detroit,Cleveland,394.34,2025-04-29
SH-LOG-01038,CAR017,Long Beach,Singapore,3036.87,2025-04-29
SH-LOG-01323,CAR020,Chicago,Detroit,2536.13,2025-04-29
SH-LOG-01781,CAR009,Long Beach,Singapore,3108.13,2025-04-29
SH-LOG-02530,CAR012,Chicago,Houston,3099.67,2025-04-29
SH-LOG-02794,CAR009,Long Beach,Hong Kong,3468.77,2025-04-29
SH-LOG-02890,CAR014,Savannah,Rotterdam,1724.79,2025-04-29
SH-LOG-03002,CAR012,Chicago,Indianapolis,2237.55,2025-04-29
SH-LOG-03078,CAR008,Chicago,Indianapolis,2120.62,2025-04-29
SH-LOG-03591,CAR009,Long Beach,Singapore,3270.69,2025-04-29
SH-LOG-04667,CAR019,JFK,Dubai,6384.91,2025-04-29
SH-LOG-04759,CAR003,O'Hare,Dallas-Fort Worth,4495.21,2025-04-29
SH-LOG-00024,CAR006,Long Beach,Shanghai,3314.74,2025-04-30
SH-LOG-00255,CAR001,Los Angeles,Phoenix,2977.36,2025-04-30
SH-LOG-01769,CAR009,Long Beach,Singapore,2967.09,2025-04-30
SH-LOG-02003,CAR002,Long Beach,Singapore,2851.81,2025-04-30
SH-LOG-02112,CAR009,Long Beach,Hong Kong,3248.98,2025-04-30
SH-LOG-02214,CAR019,JFK,Los Angeles,6924.88,2025-04-30
SH-LOG-02342,CAR001,Seattle,Portland,3494.29,2025-04-30
SH-LOG-02413,CAR008,Dallas,Atlanta,2742.97,2025-04-30
SH-LOG-02544,CAR007,O'Hare,Dallas-Fort Worth,4784.27,2025-04-30
SH-LOG-03441,CAR017,Long Beach,Singapore,2961.55,2025-04-30
SH-LOG-03726,CAR006,Long Beach,Hong Kong,3182.59,2025-04-30
SH-LOG-03865,CAR011,Newark,Hamburg,2731.45,2025-04-30
SH-LOG-03921,CAR020,Chicago,Indianapolis,2591.75,2025-04-30
SH-LOG-03950,CAR013,Chicago,Milwaukee,1690.47,2025-04-30
SH-LOG-00007,CAR013,Chicago,Detroit,3166.72,2025-05-01
SH-LOG-00436,CAR013,Seattle,Portland,3809.2,2025-05-01
SH-LOG-00438,CAR016,Chicago,Milwaukee,1277.4,2025-05-01
SH-LOG-00634,CAR018,Multiple US,Multiple US,13715.66,2025-05-01
SH-LOG-00679,CAR008,Denver,Salt Lake City,4261.59,2025-05-01
SH-LOG-02009,CAR017,Long Beach,Singapore,2818.65,2025-05-01
SH-LOG-02044,CAR014,Savannah,Rotterdam,1766.41,2025-05-01
SH-LOG-02369,CAR008,Dallas,San Antonio,2525.05,2025-05-01
SH-LOG-02879,CAR006,Long Beach,Singapore,2948.43,2025-05-01
SH-LOG-02918,CAR016,Chicago,Detroit,2450.58,2025-05-01
SH-LOG-03343,CAR019,O'Hare,Dallas-Fort Worth,4482.98,2025-05-01
SH-LOG-03794,CAR001,Seattle,Portland,3717.8,2025-05-01
SH-LOG-04352,CAR007,JFK,Singapore,9838.3,2025-05-01
SH-LOG-00058,CAR013,Chicago,Indianapolis,2442.84,2025-05-02
SH-LOG-00159,CAR009,Newark,Hamburg,2856.35,2025-05-02
SH-LOG-00528,CAR014,Long Beach,Shanghai,3004.82,2025-05-02
SH-LOG-01581,CAR004,Multiple US,Multiple US,12664.53,2025-05-02
SH-LOG-01607,CAR006,Long Beach,Singapore,3240.55,2025-05-02
SH-LOG-01650,CAR007,JFK,Singapore,8928.84,2025-05-02
SH-LOG-02195,CAR001,Chicago,Milwaukee,1651.81,2025-05-02
SH-LOG-02291,CAR014,Long Beach,Hong Kong,3580.59,2025-05-02
SH-LOG-02747,CAR008,Seattle,Portland,3463.22,2025-05-02
SH-LOG-02953,CAR007,O'Hare,Dallas-Fort Worth,4690.64,2025-05-02
SH-LOG-04828,CAR005,Dallas,San Antonio,2289.39,2025-05-02
SH-LOG-04885,CAR006,Savannah,Rotterdam,1545.53,2025-05-02
SH-LOG-00266,CAR013,Dallas,Atlanta,2242.36,2025-05-03
SH-LOG-00281,CAR013,Los Angeles,Phoenix,3779.53,2025-05-03
SH-LOG-00428,CAR009,Newark,Hamburg,2720.21,2025-05-03
SH-LOG-00451,CAR014,Savannah,Rotterdam,1321.88,2025-05-03
SH-LOG-00558,CAR007,JFK,Los Angeles,7199.42,2025-05-03
SH-LOG-00995,CAR003,JFK,Singapore,9047.88,2025-05-03
SH-LOG-01244,CAR010,Dallas,Atlanta,2874.09,2025-05-03
SH-LOG-02612,CAR013,Detroit,Cleveland,538.41,2025-05-03
SH-LOG-03108,CAR006,Newark,Hamburg,2886.84,2025-05-03
SH-LOG-03424,CAR016,Chicago,Indianapolis,2277.01,2025-05-03
SH-LOG-04846,CAR002,Long Beach,Singapore,3038.8,2025-05-03
SH-LOG-00253,CAR002,Long Beach,Hong Kong,3537.97,2025-05-04
SH-LOG-00596,CAR006,Newark,Hamburg,2464.27,2025-05-04
SH-LOG-00971,CAR013,Chicago,Houston,2830.84,2025-05-04
SH-LOG-01645,CAR015,O'Hare,Dallas-Fort Worth,4402.92,2025-05-04
SH-LOG-02039,CAR013,Los Angeles,Phoenix,2809.32,2025-05-04
SH-LOG-02052,CAR020,Detroit,Cleveland,542.85,2025-05-04
SH-LOG-02093,CAR003,JFK,Singapore,9594.13,2025-05-04
SH-LOG-02162,CAR013,Dallas,Atlanta,2760.98,2025-05-04
SH-LOG-03358,CAR013,Seattle,Portland,4326.22,2025-05-04
SH-LOG-03411,CAR005,Dallas,Atlanta,2933.97,2025-05-04
SH-LOG-03960,CAR011,Newark,Hamburg,2529.11,2025-05-04
SH-LOG-03972,CAR001,Seattle,Portland,3724.21,2025-05-04
SH-LOG-00089,CAR006,Long Beach,Shanghai,3203.59,2025-05-05
SH-LOG-01761,CAR012,Detroit,Cleveland,303.91,2025-05-05
SH-LOG-01952,CAR009,Long Beach,Shanghai,3405.6,2025-05-05
SH-LOG-02202,CAR001,Chicago,Milwaukee,1739.79,2025-05-05
SH-LOG-02615,CAR001,Chicago,Houston,2650.58,2025-05-05
SH-LOG-02712,CAR001,Seattle,Portland,4047.02,2025-05-05
SH-LOG-02821,CAR006,Long Beach,Shanghai,3330.26,2025-05-05
SH-LOG-02920,CAR018,Multiple US,Multiple US,13237.46,2025-05-05
SH-LOG-03265,CAR020,Denver,Salt Lake City,4509.95,2025-05-05
SH-LOG-03269,CAR006,Newark,Hamburg,2683.19,2025-05-05
SH-LOG-04218,CAR011,Savannah,Rotterdam,1474.76,2025-05-05
SH-LOG-04272,CAR019,JFK,Los Angeles,7311.21,2025-05-05
SH-LOG-04394,CAR012,Chicago,Detroit,2871.01,2025-05-05
SH-LOG-04426,CAR009,Savannah,Rotterdam,1600.77,2025-05-05
SH-LOG-04737,CAR007,O'Hare,Dallas-Fort Worth,4947.54,2025-05-05
SH-LOG-04886,CAR017,Long Beach,Hong Kong,3509.24,2025-05-05
SH-LOG-00923,CAR001,Los Angeles,Phoenix,3746.58,2025-05-06
SH-LOG-02334,CAR002,Savannah,Rotterdam,1744.13,2025-05-06
SH-LOG-02932,CAR020,Seattle,Portland,3663.65,2025-05-06
SH-LOG-03454,CAR011,Long Beach,Singapore,2823.05,2025-05-06
SH-LOG-03856,CAR006,Long Beach,Shanghai,3259.3,2025-05-06
SH-LOG-03946,CAR020,Dallas,San Antonio,2296.79,2025-05-06
SH-LOG-04184,CAR020,Los Angeles,Phoenix,3357.08,2025-05-06
SH-LOG-04295,CAR013,Los Angeles,Phoenix,3409.23,2025-05-06
SH-LOG-04396,CAR006,Long Beach,Shanghai,3075.03,2025-05-06
SH-LOG-04462,CAR020,Los Angeles,Phoenix,3663.04,2025-05-06
SH-LOG-00081,CAR006,Savannah,Rotterdam,1511.26,2025-05-07
SH-LOG-00218,CAR006,Savannah,Rotterdam,1427.68,2025-05-07
SH-LOG-00854,CAR015,JFK,Los Angeles,7026.2,2025-05-07
SH-LOG-01104,CAR005,Los Angeles,Phoenix,3759.22,2025-05-07
SH-LOG-01240,CAR005,Chicago,Milwaukee,1771.84,2025-05-07
SH-LOG-01485,CAR019,O'Hare,Dallas-Fort Worth,5180.81,2025-05-07
SH-LOG-02964,CAR013,Dallas,Atlanta,2428.35,2025-05-07
SH-LOG-03188,CAR013,Chicago,Indianapolis,2563.02,2025-05-07
SH-LOG-03496,CAR017,Newark,Hamburg,2555.78,2025-05-07
SH-LOG-03516,CAR006,Savannah,Rotterdam,1715.23,2025-05-07
SH-LOG-03627,CAR017,Long Beach,Singapore,3206.16,2025-05-07
SH-LOG-03947,CAR009,Long Beach,Singapore,2970.01,2025-05-07
SH-LOG-04111,CAR020,Chicago,Detroit,3118.02,2025-05-07
SH-LOG-04120,CAR018,Multiple US,Multiple US,15060.08,2025-05-07
SH-LOG-04253,CAR020,Seattle,Portland,3920.16,2025-05-07
SH-LOG-04710,CAR008,Chicago,Indianapolis,2116.22,2025-05-07
SH-LOG-00416,CAR008,Chicago,Indianapolis,1865.91,2025-05-08
SH-LOG-00628,CAR012,Seattle,Portland,3616.81,2025-05-08
SH-LOG-01343,CAR005,Dallas,San Antonio,2416.87,2025-05-08
SH-LOG-01458,CAR006,Savannah,Rotterdam,1613.42,2025-05-08
SH-LOG-02392,CAR009,Savannah,Rotterdam,1660.1,2025-05-08
SH-LOG-03420,CAR009,Newark,Hamburg,2721.24,2025-05-08
SH-LOG-03635,CAR015,JFK,Singapore,8920.42,2025-05-08
SH-LOG-04307,CAR004,Multiple US,Multiple US,13428.32,2025-05-08
SH-LOG-04550,CAR020,Seattle,Portland,3737.02,2025-05-08
SH-LOG-04632,CAR017,Long Beach,Shanghai,3139.02,2025-05-08
SH-LOG-00144,CAR014,Long Beach,Singapore,3060.89,2025-05-09
SH-LOG-00290,CAR001,Denver,Salt Lake City,4026.51,2025-05-09
SH-LOG-00336,CAR019,JFK,Dubai,6069.07,2025-05-09
SH-LOG-00956,CAR006,Savannah,Rotterdam,1503.44,2025-05-09
SH-LOG-01292,CAR002,Long Beach,Hong Kong,3284.62,2025-05-09
SH-LOG-01435,CAR015,O'Hare,Dallas-Fort Worth,4430.98,2025-05-09
SH-LOG-01899,CAR006,Long Beach,Singapore,2859.96,2025-05-09
SH-LOG-01905,CAR014,Long Beach,Singapore,3253.24,2025-05-09
SH-LOG-02372,CAR020,Detroit,Cleveland,589.71,2025-05-09
SH-LOG-03158,CAR010,Dallas,Atlanta,2833.93,2025-05-09
SH-LOG-03387,CAR008,Denver,Salt Lake City,4005.09,2025-05-09
SH-LOG-03485,CAR013,Chicago,Indianapolis,1853.52,2025-05-09
SH-LOG-03790,CAR008,Chicago,Milwaukee,1179.74,2025-05-09
SH-LOG-04825,CAR013,Los Angeles,Phoenix,3116.3,2025-05-09
SH-LOG-00033,CAR014,Newark,Hamburg,2600.38,2025-05-10
SH-LOG-00149,CAR017,Savannah,Rotterdam,1618.38,2025-05-10
SH-LOG-00377,CAR001,Seattle,Portland,3969.75,2025-05-10
SH-LOG-00727,CAR001,Denver,Salt Lake City,4380.63,2025-05-10
SH-LOG-01355,CAR013,Dallas,Atlanta,2961.02,2025-05-10
SH-LOG-01574,CAR014,Newark,Hamburg,2433.67,2025-05-10
SH-LOG-01828,CAR013,Dallas,San Antonio,2196.35,2025-05-10
SH-LOG-01857,CAR017,Newark,Hamburg,2649.75,2025-05-10
SH-LOG-03573,CAR009,Long Beach,Shanghai,3359.71,2025-05-10
SH-LOG-03757,CAR018,Multiple US,Multiple US,14519.54,2025-05-10
SH-LOG-03820,CAR006,Savannah,Rotterdam,1735.68,2025-05-10
SH-LOG-04007,CAR009,Long Beach,Hong Kong,3493.61,2025-05-10
SH-LOG-04382,CAR011,Long Beach,Hong Kong,3372.18,2025-05-10
SH-LOG-04417,CAR020,Chicago,Milwaukee,1568.52,2025-05-10
SH-LOG-00386,CAR020,Dallas,Atlanta,2852.17,2025-05-11
SH-LOG-00676,CAR020,Los Angeles,Phoenix,2823.51,2025-05-11
SH-LOG-00683,CAR020,Chicago,Milwaukee,1323.74,2025-05-11
SH-LOG-00732,CAR006,Long Beach,Shanghai,3216.37,2025-05-11
SH-LOG-01178,CAR013,Chicago,Milwaukee,1634.65,2025-05-11
SH-LOG-01277,CAR006,Long Beach,Hong Kong,3384.6,2025-05-11
SH-LOG-01440,CAR007,O'Hare,Dallas-Fort Worth,4518.51,2025-05-11
SH-LOG-01599,CAR013,Dallas,Atlanta,2540.36,2025-05-11
SH-LOG-02370,CAR006,Long Beach,Hong Kong,3402.46,2025-05-11
SH-LOG-02462,CAR008,Denver,Salt Lake City,3689.57,2025-05-11
SH-LOG-02983,CAR017,Savannah,Rotterdam,1570.88,2025-05-11
SH-LOG-03215,CAR020,Denver,Salt Lake City,4569.24,2025-05-11
SH-LOG-03405,CAR013,Los Angeles,Phoenix,3147.03,2025-05-11
SH-LOG-03618,CAR013,Dallas,Atlanta,2477.15,2025-05-11
SH-LOG-04722,CAR013,Dallas,Atlanta,2284.76,2025-05-11
SH-LOG-00128,CAR005,Chicago,Houston,2206.88,2025-05-12
SH-LOG-01531,CAR013,Chicago,Indianapolis,2054.31,2025-05-12
SH-LOG-01753,CAR002,Savannah,Rotterdam,1474.1,2025-05-12
SH-LOG-02185,CAR020,Chicago,Houston,3035.69,2025-05-12
SH-LOG-02366,CAR001,Dallas,Atlanta,2801.13,2025-05-12
SH-LOG-02456,CAR013,Chicago,Indianapolis,1891.54,2025-05-12
SH-LOG-02623,CAR001,Los Angeles,Phoenix,3757.9,2025-05-12
SH-LOG-03220,CAR013,Los Angeles,Phoenix,3077.88,2025-05-12
SH-LOG-03462,CAR007,JFK,Los Angeles,7619.41,2025-05-12
SH-LOG-03723,CAR020,Denver,Salt Lake City,4466.52,2025-05-12
SH-LOG-03763,CAR013,Chicago,Detroit,2710.76,2025-05-12
SH-LOG-03902,CAR011,Long Beach,Singapore,3114.82,2025-05-12
SH-LOG-04551,CAR013,Denver,Salt Lake City,3895.79,2025-05-12
SH-LOG-04738,CAR001,Denver,Salt Lake City,4485.0,2025-05-12
SH-LOG-04867,CAR017,Savannah,Rotterdam,1454.67,2025-05-12
SH-LOG-00023,CAR007,JFK,Dubai,6058.3,2025-05-13
SH-LOG-01256,CAR002,Long Beach,Shanghai,3425.44,2025-05-13
SH-LOG-01855,CAR005,Seattle,Portland,4349.24,2025-05-13
SH-LOG-03030,CAR008,Dallas,San Antonio,2629.86,2025-05-13
SH-LOG-03033,CAR007,JFK,Los Angeles,7178.45,2025-05-13
SH-LOG-03632,CAR013,Seattle,Portland,3402.61,2025-05-13
SH-LOG-04653,CAR019,JFK,Dubai,5840.32,2025-05-13
SH-LOG-00143,CAR013,Detroit,Cleveland,382.59,2025-05-14
SH-LOG-00519,CAR005,Chicago,Milwaukee,1366.01,2025-05-14
SH-LOG-00888,CAR005,Dallas,Atlanta,2732.91,2025-05-14
SH-LOG-01262,CAR007,JFK,Dubai,6362.43,2025-05-14
SH-LOG-02481,CAR001,Los Angeles,Phoenix,3161.61,2025-05-14
SH-LOG-04022,CAR013,Chicago,Detroit,3261.7,2025-05-14
SH-LOG-04495,CAR006,Newark,Hamburg,2800.39,2025-05-14
SH-LOG-04534,CAR006,Long Beach,Hong Kong,3231.72,2025-05-14
SH-LOG-04629,CAR013,Los Angeles,Phoenix,3615.87,2025-05-14
SH-LOG-00335,CAR017,Newark,Hamburg,2831.71,2025-05-15
SH-LOG-00402,CAR010,Chicago,Milwaukee,1121.24,2025-05-15
SH-LOG-00846,CAR001,Chicago,Houston,2363.39,2025-05-15
SH-LOG-00876,CAR001,Seattle,Portland,3730.14,2025-05-15
SH-LOG-00913,CAR009,Savannah,Rotterdam,1745.76,2025-05-15
SH-LOG-01465,CAR001,Detroit,Cleveland,482.65,2025-05-15
SH-LOG-02033,CAR001,Seattle,Portland,3588.32,2025-05-15
SH-LOG-02210,CAR016,Denver,Salt Lake City,3764.83,2025-05-15
SH-LOG-02245,CAR019,JFK,Los Angeles,7227.12,2025-05-15
SH-LOG-02536,CAR020,Chicago,Houston,2590.7,2025-05-15
SH-LOG-03181,CAR014,Newark,Hamburg,2700.87,2025-05-15
SH-LOG-03346,CAR017,Long Beach,Singapore,3246.82,2025-05-15
SH-LOG-00317,CAR003,JFK,Singapore,10025.33,2025-05-16
SH-LOG-00614,CAR009,Long Beach,Hong Kong,3375.02,2025-05-16
SH-LOG-00907,CAR018,Multiple US,Multiple US,12609.63,2025-05-16
SH-LOG-00964,CAR006,Long Beach,Hong Kong,3476.15,2025-05-16
SH-LOG-00982,CAR013,Los Angeles,Phoenix,2932.45,2025-05-16
SH-LOG-01099,CAR020,Seattle,Portland,3482.17,2025-05-16
SH-LOG-01154,CAR017,Savannah,Rotterdam,1674.83,2025-05-16
SH-LOG-01195,CAR017,Savannah,Rotterdam,1613.02,2025-05-16
SH-LOG-01380,CAR004,Multiple US,Multiple US,15545.82,2025-05-16
SH-LOG-01834,CAR017,Long Beach,Hong Kong,3330.25,2025-05-16
SH-LOG-02105,CAR005,Dallas,San Antonio,2684.25,2025-05-16
SH-LOG-02186,CAR003,JFK,Los Angeles,7761.18,2025-05-16
SH-LOG-02428,CAR008,Seattle,Portland,3788.51,2025-05-16
SH-LOG-03010,CAR005,Chicago,Indianapolis,2031.28,2025-05-16
SH-LOG-03606,CAR008,Chicago,Milwaukee,1384.7,2025-05-16
SH-LOG-03687,CAR017,Savannah,Rotterdam,1562.79,2025-05-16
SH-LOG-04912,CAR008,Chicago,Houston,2567.02,2025-05-16
SH-LOG-04933,CAR007,JFK,Los Angeles,7240.81,2025-05-16
SH-LOG-04956,CAR019,O'Hare,Dallas-Fort Worth,5102.07,2025-05-16
SH-LOG-00419,CAR014,Long Beach,Shanghai,3263.78,2025-05-17
SH-LOG-00449,CAR007,JFK,Los Angeles,7242.02,2025-05-17
SH-LOG-00610,CAR001,Los Angeles,Phoenix,3278.69,2025-05-17
SH-LOG-00811,CAR013,Dallas,Atlanta,2676.12,2025-05-17
SH-LOG-00943,CAR007,JFK,Singapore,9078.76,2025-05-17
SH-LOG-01073,CAR003,JFK,Singapore,9501.98,2025-05-17
SH-LOG-01140,CAR003,JFK,Dubai,6340.67,2025-05-17
SH-LOG-01442,CAR001,Chicago,Houston,2395.49,2025-05-17
SH-LOG-01518,CAR011,Newark,Hamburg,2513.98,2025-05-17
SH-LOG-01603,CAR013,Chicago,Indianapolis,2569.85,2025-05-17
SH-LOG-02320,CAR019,JFK,Dubai,6228.24,2025-05-17
SH-LOG-02738,CAR005,Seattle,Portland,4097.33,2025-05-17
SH-LOG-02935,CAR012,Chicago,Detroit,2996.58,2025-05-17
SH-LOG-02968,CAR012,Dallas,Atlanta,2972.26,2025-05-17
SH-LOG-04066,CAR011,Newark,Hamburg,2445.85,2025-05-17
SH-LOG-04230,CAR012,Denver,Salt Lake City,4171.91,2025-05-17
SH-LOG-00647,CAR008,Chicago,Detroit,2976.76,2025-05-18
SH-LOG-00701,CAR014,Long Beach,Singapore,3186.23,2025-05-18
SH-LOG-01017,CAR002,Long Beach,Singapore,2915.65,2025-05-18
SH-LOG-01227,CAR001,Chicago,Indianapolis,2035.21,2025-05-18
SH-LOG-01699,CAR002,Long Beach,Singapore,3013.7,2025-05-18
SH-LOG-01701,CAR001,Detroit,Cleveland,340.85,2025-05-18
SH-LOG-02005,CAR013,Chicago,Houston,3060.42,2025-05-18
SH-LOG-02327,CAR019,JFK,Dubai,5975.13,2025-05-18
SH-LOG-02972,CAR020,Detroit,Cleveland,585.55,2025-05-18
SH-LOG-03113,CAR006,Long Beach,Singapore,3125.34,2025-05-18
