transaction_id,date,supplier_id,supplier_name,sub_category,part_number,description,unit_of_measure,quantity,unit_price_usd,amount_usd
TXN01001,2025-05-03,SUP003,Pacific Aluminum,Aluminum,AL-3001,"6061-T6 aluminum bar, 25 mm",ft,456,139.35,62872.63
TXN01002,2025-05-23,SUP003,Pacific Aluminum,Aluminum,AL-3001,"6061-T6 aluminum bar, 25 mm",ft,355,143.4,50371.68
TXN01003,2025-05-28,SUP003,Pacific Aluminum,Aluminum,AL-3002,"Aluminum sheet, 1.5 mm",sheet,131,612.92,79447.33
TXN01004,2025-05-30,SUP003,Pacific Aluminum,Aluminum,AL-3001,"6061-T6 aluminum bar, 25 mm",ft,357,147.21,52000.11
TXN01005,2025-06-17,SUP003,Pacific Aluminum,Aluminum,AL-3002,"Aluminum sheet, 1.5 mm",sheet,125,607.74,75167.91
TXN01006,2025-06-29,SUP003,Pacific Aluminum,Aluminum,AL-3001,"6061-T6 aluminum bar, 25 mm",ft,174,147.9,25462.77
TXN01007,2025-07-03,SUP003,Pacific Aluminum,Aluminum,AL-3002,"Aluminum sheet, 1.5 mm",sheet,195,623.34,120272.05
TXN01008,2025-07-05,SUP003,Pacific Aluminum,Aluminum,AL-3001,"6061-T6 aluminum bar, 25 mm",ft,180,148.21,26396.37
TXN01009,2025-07-23,SUP003,Pacific Aluminum,Aluminum,AL-3003,"Aluminum extrusion, custom profile",ft,220,109.27,23785.75
TXN01010,2025-08-03,SUP003,Pacific Aluminum,Aluminum,AL-3003,"Aluminum extrusion, custom profile",ft,235,106.33,24725.52
TXN01011,2025-08-29,SUP003,Pacific Aluminum,Aluminum,AL-3003,"Aluminum extrusion, custom profile",ft,353,111.51,38949.99
TXN01012,2025-09-15,SUP003,Pacific Aluminum,Aluminum,AL-3002,"Aluminum sheet, 1.5 mm",sheet,240,616.79,146471.14
TXN01013,2025-09-25,SUP003,Pacific Aluminum,Aluminum,AL-3003,"Aluminum extrusion, custom profile",ft,192,115.07,21861.01
TXN01014,2025-09-28,SUP003,Pacific Aluminum,Aluminum,AL-3001,"6061-T6 aluminum bar, 25 mm",ft,332,134.6,44217.71
TXN01015,2025-10-02,SUP003,Pacific Aluminum,Aluminum,AL-3003,"Aluminum extrusion, custom profile",ft,244,114.51,27646.11
TXN01016,2025-10-11,SUP003,Pacific Aluminum,Aluminum,AL-3002,"Aluminum sheet, 1.5 mm",sheet,115,602.75,68586.41
TXN01017,2025-10-12,SUP003,Pacific Aluminum,Aluminum,AL-3003,"Aluminum extrusion, custom profile",ft,238,117.88,27759.84
TXN01018,2025-10-12,SUP003,Pacific Aluminum,Aluminum,AL-3002,"Aluminum sheet, 1.5 mm",sheet,216,570.8,121994.57
TXN01019,2025-10-13,SUP003,Pacific Aluminum,Aluminum,AL-3002,"Aluminum sheet, 1.5 mm",sheet,216,624.9,133557.85
TXN01020,2025-11-07,SUP003,Pacific Aluminum,Aluminum,AL-3001,"6061-T6 aluminum bar, 25 mm",ft,192,148.27,28167.99
TXN01021,2025-11-11,SUP003,Pacific Aluminum,Aluminum,AL-3001,"6061-T6 aluminum bar, 25 mm",ft,347,146.96,50457.82
TXN01022,2025-11-22,SUP003,Pacific Aluminum,Aluminum,AL-3002,"Aluminum sheet, 1.5 mm",sheet,189,595.95,111448.25
TXN01023,2025-11-24,SUP003,Pacific Aluminum,Aluminum,AL-3003,"Aluminum extrusion, custom profile",ft,214,117.82,24947.31
TXN01024,2025-11-29,SUP003,Pacific Aluminum,Aluminum,AL-3003,"Aluminum extrusion, custom profile",ft,237,106.02,24862.78
TXN01025,2025-11-29,SUP003,Pacific Aluminum,Aluminum,AL-3003,"Aluminum extrusion, custom profile",ft,119,116.44,13710.92
TXN01026,2025-12-04,SUP003,Pacific Aluminum,Aluminum,AL-3001,"6061-T6 aluminum bar, 25 mm",ft,305,142.97,43145.25
TXN01027,2025-12-09,SUP003,Pacific Aluminum,Aluminum,AL-3001,"6061-T6 aluminum bar, 25 mm",ft,480,143.34,68078.55
