transaction_id,date,category,supplier,description,amount_usd,po_number,cost_center
TXN-2111,2025-11-20,Professional services,Keystone Legal,Professional services services,52230.43,PO-2111,CC-723
TXN-2208,2026-04-14,Professional services,Sterling Consulting,Professional services services,29653.88,PO-2208,CC-136
TXN-1952,2026-04-02,Raw materials,Apex Electronics,Raw materials services,58619.89,PO-1952,CC-245
TXN-1021,2025-06-18,IT services,RapidDeploy LLC,IT services services,90599.14,PO-1021,CC-846
TXN-1591,2025-10-22,Facilities,ProClean Services,Facilities services,56684.47,PO-1591,CC-212
TXN-1984,2025-05-05,Professional services,Keystone Legal,Professional services services,38373.8,PO-1984,CC-135
TXN-1132,2025-11-24,IT services,RapidDeploy LLC,IT services services,94740.35,PO-1132,CC-854
TXN-1531,2025-07-20,Facilities,GreenSpace Facilities,Facilities services,46645.57,PO-1531,CC-392
TXN-1709,2025-05-21,Raw materials,Apex Electronics,Raw materials services,86657.31,PO-1709,CC-857
TXN-1042,2025-07-04,IT services,DataVault Inc,IT services services,80437.75,PO-1042,CC-991
TXN-1503,2025-05-16,Facilities,GreenSpace Facilities,Facilities services,96664.59,PO-1503,CC-746
TXN-2288,2025-08-14,MRO,Grainger West,MRO services,51058.06,PO-2288,CC-423
TXN-2132,2025-12-20,Professional services,Nexus Staffing,Professional services services,53158.26,PO-2132,CC-172
TXN-1128,2025-11-12,IT services,CloudStack Solutions,IT services services,87533.32,PO-1128,CC-846
TXN-1216,2026-04-15,IT services,TechBridge Systems,IT services services,96734.79,PO-1216,CC-911
TXN-1032,2025-06-05,IT services,DataVault Inc,IT services services,119523.37,PO-1032,CC-621
TXN-1856,2025-11-22,Raw materials,Heartland Polymers,Raw materials services,74541.62,PO-1856,CC-502
TXN-1839,2025-10-25,Raw materials,Pacific Aluminum,Raw materials services,61575.29,PO-1839,CC-142
TXN-1230,2025-05-25,Logistics,SwiftLine Freight,Logistics services,72409.89,PO-1230,CC-602
TXN-1924,2026-02-04,Raw materials,Pacific Aluminum,Raw materials services,72855.3,PO-1924,CC-889
TXN-1955,2026-04-04,Raw materials,Bayshore Materials,Raw materials services,34562.42,PO-1955,CC-617
TXN-1725,2025-05-09,Raw materials,Pacific Aluminum,Raw materials services,77717.21,PO-1725,CC-914
TXN-2217,2026-04-12,Professional services,Whitfield Advisory,Professional services services,24711.28,PO-2217,CC-949
TXN-2139,2025-12-01,Professional services,Keystone Legal,Professional services services,55824.55,PO-2139,CC-562
TXN-1304,2025-08-22,Logistics,Redline Logistics LLC,Logistics services,46758.11,PO-1304,CC-394
TXN-1097,2025-10-22,IT services,RapidDeploy LLC,IT services services,63810.06,PO-1097,CC-206
TXN-2183,2026-03-13,Professional services,Keystone Legal,Professional services services,33601.51,PO-2183,CC-509
TXN-1224,2026-04-07,IT services,TechBridge Systems,IT services services,54691.79,PO-1224,CC-856
TXN-1741,2025-06-19,Raw materials,Heartland Polymers,Raw materials services,62870.26,PO-1741,CC-954
TXN-1765,2025-07-06,Raw materials,Apex Electronics,Raw materials services,38168.88,PO-1765,CC-545
TXN-1655,2026-02-17,Facilities,GreenSpace Facilities,Facilities services,38575.36,PO-1655,CC-556
TXN-1416,2026-01-27,Logistics,SwiftLine Freight,Logistics services,63653.06,PO-1416,CC-784
TXN-1436,2026-02-19,Logistics,Horizon Distribution,Logistics services,82493.71,PO-1436,CC-157
TXN-1644,2026-01-22,Facilities,SafeGuard Security,Facilities services,43064.85,PO-1644,CC-614
TXN-1992,2025-05-17,Professional services,Keystone Legal,Professional services services,69512.68,PO-1992,CC-429
TXN-2352,2025-11-07,MRO,ToolWorks Inc,MRO services,65380.33,PO-2352,CC-559
TXN-1494,2025-05-08,Facilities,ProClean Services,Facilities services,72772.29,PO-1494,CC-684
TXN-1567,2025-09-13,Facilities,ProClean Services,Facilities services,51583.28,PO-1567,CC-984
TXN-1629,2025-12-11,Facilities,ProClean Services,Facilities services,93246.36,PO-1629,CC-391
TXN-1118,2025-11-26,IT services,DataVault Inc,IT services services,61209.93,PO-1118,CC-818
TXN-1670,2026-02-27,Facilities,GreenSpace Facilities,Facilities services,67362.33,PO-1670,CC-335
TXN-2082,2025-10-27,Professional services,Keystone Legal,Professional services services,39903.85,PO-2082,CC-603
TXN-1585,2025-10-26,Facilities,Meridian Maintenance Group,Facilities services,79220.58,PO-1585,CC-585
TXN-1721,2025-05-10,Raw materials,Bayshore Materials,Raw materials services,45780.13,PO-1721,CC-117
TXN-1218,2026-04-22,IT services,TechBridge Systems,IT services services,59334.01,PO-1218,CC-695
TXN-2394,2026-01-25,MRO,Industrial Supply Co,MRO services,67619.37,PO-2394,CC-509
TXN-1659,2026-02-19,Facilities,ProClean Services,Facilities services,81323.35,PO-1659,CC-174
TXN-2420,2026-03-18,MRO,Industrial Supply Co,MRO services,57112.79,PO-2420,CC-143
TXN-1592,2025-10-26,Facilities,GreenSpace Facilities,Facilities services,70741.67,PO-1592,CC-842
TXN-2236,2025-05-20,MRO,FastParts Direct,MRO services,31662.97,PO-2236,CC-831
TXN-1699,2026-04-08,Facilities,Meridian Maintenance Group,Facilities services,58530.15,PO-1699,CC-665
TXN-2325,2025-10-17,MRO,ToolWorks Inc,MRO services,28635.86,PO-2325,CC-622
TXN-2153,2026-01-26,Professional services,Whitfield Advisory,Professional services services,32716.49,PO-2153,CC-513
TXN-2403,2026-02-27,MRO,ToolWorks Inc,MRO services,62166.51,PO-2403,CC-912
TXN-1817,2025-09-21,Raw materials,Apex Electronics,Raw materials services,60728.61,PO-1817,CC-420
TXN-1698,2026-04-23,Facilities,GreenSpace Facilities,Facilities services,92331.58,PO-1698,CC-718
TXN-1922,2026-02-24,Raw materials,Cascade Fasteners,Raw materials services,75812.87,PO-1922,CC-365
TXN-1903,2026-01-05,Raw materials,Pacific Aluminum,Raw materials services,84731.9,PO-1903,CC-496
TXN-1222,2026-04-24,IT services,NetSecure Corp,IT services services,58314.88,PO-1222,CC-297
TXN-2196,2026-03-23,Professional services,Keystone Legal,Professional services services,50146.17,PO-2196,CC-817
TXN-1346,2025-10-05,Logistics,SwiftLine Freight,Logistics services,88280.14,PO-1346,CC-497
TXN-2210,2026-04-21,Professional services,Nexus Staffing,Professional services services,71997.32,PO-2210,CC-411
TXN-1674,2026-03-03,Facilities,ProClean Services,Facilities services,48349.05,PO-1674,CC-203
TXN-2429,2026-03-04,MRO,FastParts Direct,MRO services,39728.55,PO-2429,CC-433
TXN-1272,2025-06-07,Logistics,National Carriers Inc,Logistics services,80181.22,PO-1272,CC-373
TXN-1221,2026-04-09,IT services,NetSecure Corp,IT services services,96017.37,PO-1221,CC-413
TXN-1768,2025-07-20,Raw materials,Bayshore Materials,Raw materials services,58842.87,PO-1768,CC-300
TXN-1005,2025-05-07,IT services,RapidDeploy LLC,IT services services,42030.5,PO-1005,CC-833
TXN-1747,2025-06-25,Raw materials,Cascade Fasteners,Raw materials services,52987.0,PO-1747,CC-434
TXN-2383,2026-01-21,MRO,Industrial Supply Co,MRO services,29849.13,PO-2383,CC-105
TXN-1179,2026-02-03,IT services,RapidDeploy LLC,IT services services,92835.95,PO-1179,CC-758
TXN-1760,2025-07-28,Raw materials,Cascade Fasteners,Raw materials services,75898.65,PO-1760,CC-494
TXN-2134,2025-12-14,Professional services,Broadview Analytics,Professional services services,50674.59,PO-2134,CC-155
TXN-2387,2026-01-13,MRO,Grainger West,MRO services,64631.82,PO-2387,CC-728
TXN-2020,2025-07-25,Professional services,Nexus Staffing,Professional services services,43872.45,PO-2020,CC-681
TXN-1263,2025-06-16,Logistics,National Carriers Inc,Logistics services,93485.33,PO-1263,CC-456
TXN-2038,2025-08-21,Professional services,Sterling Consulting,Professional services services,45827.02,PO-2038,CC-268
TXN-1855,2025-11-11,Raw materials,Heartland Polymers,Raw materials services,38187.11,PO-1855,CC-948
TXN-1301,2025-08-28,Logistics,Horizon Distribution,Logistics services,86058.09,PO-1301,CC-646
TXN-1968,2026-04-28,Raw materials,Great Lakes Steel,Raw materials services,42251.23,PO-1968,CC-435
TXN-2050,2025-08-13,Professional services,Sterling Consulting,Professional services services,56187.08,PO-2050,CC-289
TXN-2341,2025-11-08,MRO,FastParts Direct,MRO services,42460.34,PO-2341,CC-178
TXN-2230,2025-05-20,MRO,Grainger West,MRO services,52291.56,PO-2230,CC-429
TXN-2062,2025-09-20,Professional services,Nexus Staffing,Professional services services,57942.19,PO-2062,CC-250
TXN-1279,2025-07-14,Logistics,Coastal Transport Co,Logistics services,76708.01,PO-1279,CC-954
TXN-2128,2025-12-08,Professional services,Keystone Legal,Professional services services,56805.51,PO-2128,CC-463
TXN-1509,2025-05-25,Facilities,SafeGuard Security,Facilities services,55941.37,PO-1509,CC-148
TXN-1169,2026-01-14,IT services,CloudStack Solutions,IT services services,56422.75,PO-1169,CC-498
TXN-1429,2026-02-05,Logistics,SwiftLine Freight,Logistics services,46853.47,PO-1429,CC-362
TXN-1288,2025-07-18,Logistics,National Carriers Inc,Logistics services,53780.61,PO-1288,CC-881
TXN-1732,2025-06-16,Raw materials,Bayshore Materials,Raw materials services,39672.67,PO-1732,CC-965
TXN-1480,2026-04-01,Logistics,National Carriers Inc,Logistics services,88112.8,PO-1480,CC-524
TXN-1314,2025-08-22,Logistics,National Carriers Inc,Logistics services,89167.87,PO-1314,CC-659
TXN-1113,2025-10-14,IT services,RapidDeploy LLC,IT services services,110487.95,PO-1113,CC-735
TXN-1105,2025-10-06,IT services,TechBridge Systems,IT services services,118124.22,PO-1105,CC-859
