month,on_time_delivery_pct,damage_rate_pct,invoice_accuracy_pct,response_time_hours
2024-05,96.9,0.16,98.6,2.2
2024-06,97.0,0.35,99.6,1.8
2024-07,96.7,0.16,98.5,3.0
2024-08,96.3,0.21,99.2,3.1
2024-09,96.5,0.33,99.5,1.5
2024-10,97.1,0.36,98.7,2.0
2024-11,97.3,0.25,98.3,1.8
2024-12,97.1,0.33,99.5,3.7
2025-01,96.8,0.44,98.8,3.2
2025-02,97.1,0.34,99.6,3.2
2025-03,97.0,0.16,98.6,2.4
2025-04,96.4,0.22,98.4,2.3
2025-05,96.9,0.26,98.8,2.1
2025-06,96.6,0.43,99.2,3.3
2025-07,96.5,0.37,98.5,2.6
2025-08,97.3,0.34,99.1,3.6
2025-09,97.1,0.38,98.6,1.6
2025-10,96.6,0.23,98.5,4.3
2025-11,96.4,0.24,99.2,2.7
2025-12,95.8,0.29,98.6,2.2
2026-01,95.0,0.23,99.1,4.2
2026-02,94.3,0.22,99.8,3.0
2026-03,93.5,0.16,98.4,3.4
2026-04,93.3,0.28,98.3,2.6
