supplier_id,supplier_name,quarter,quality_score,delivery_score,responsiveness_score,cost_score,innovation_score,overall_score
SUP001,Great Lakes Steel,2025-Q2,89.9,92.9,85.5,90.1,86.6,89.4
SUP001,Great Lakes Steel,2025-Q3,91.6,96.1,89.4,96.2,87.3,92.7
SUP001,Great Lakes Steel,2025-Q4,87.2,87.0,91.9,89.7,94.8,89.6
SUP001,Great Lakes Steel,2026-Q1,93.6,95.0,96.9,95.1,86.4,93.7
SUP002,Heartland Polymers,2025-Q2,86.3,90.5,92.2,88.3,89.6,89.0
SUP002,Heartland Polymers,2025-Q3,90.6,85.7,89.3,84.9,89.7,87.9
SUP002,Heartland Polymers,2025-Q4,86.1,89.8,89.0,91.7,84.0,88.4
SUP002,Heartland Polymers,2026-Q1,91.1,78.3,85.4,88.4,90.6,86.9
SUP003,Pacific Aluminum,2025-Q2,89.6,83.3,84.4,89.1,88.0,87.2
SUP003,Pacific Aluminum,2025-Q3,85.2,86.5,86.9,88.7,93.1,87.8
SUP003,Pacific Aluminum,2025-Q4,89.8,85.1,90.9,89.4,81.7,87.7
SUP003,Pacific Aluminum,2026-Q1,82.8,89.8,92.2,85.5,88.7,87.2
SUP004,Apex Electronics,2025-Q2,85.3,89.3,84.7,82.7,95.0,86.8
SUP004,Apex Electronics,2025-Q3,85.1,81.0,87.3,83.2,85.9,84.3
SUP004,Apex Electronics,2025-Q4,77.9,74.4,81.8,82.9,84.7,80.1
SUP004,Apex Electronics,2026-Q1,66.6,58.2,72.9,72.6,81.8,69.6
SUP005,Cascade Fasteners,2025-Q2,85.0,89.9,90.8,87.5,88.8,88.0
SUP005,Cascade Fasteners,2025-Q3,84.9,84.0,89.3,89.0,89.6,87.1
SUP005,Cascade Fasteners,2025-Q4,87.6,83.5,89.2,89.0,83.9,86.8
SUP005,Cascade Fasteners,2026-Q1,84.5,77.2,94.7,87.2,91.3,86.3
SUP006,Summit Metals,2025-Q2,82.8,88.8,86.7,88.7,91.6,87.4
SUP006,Summit Metals,2025-Q3,88.0,84.0,83.6,84.6,88.6,85.8
SUP006,Summit Metals,2025-Q4,83.3,87.8,81.7,81.4,83.0,83.4
SUP006,Summit Metals,2026-Q1,74.2,78.4,78.5,68.5,65.6,73.0
SUP007,Liberty Composites,2025-Q2,64.2,62.4,65.7,60.7,70.4,64.1
SUP007,Liberty Composites,2025-Q3,70.9,71.7,64.4,72.0,69.4,70.1
SUP007,Liberty Composites,2025-Q4,76.3,68.9,71.8,75.8,77.3,74.2
SUP007,Liberty Composites,2026-Q1,91.2,86.3,79.5,80.0,75.3,83.3
SUP008,Frontier Plastics,2025-Q2,77.2,77.2,75.1,71.9,73.9,75.1
SUP008,Frontier Plastics,2025-Q3,73.8,74.1,75.3,75.5,78.8,75.3
SUP008,Frontier Plastics,2025-Q4,76.0,78.7,77.6,77.3,69.0,76.1
SUP008,Frontier Plastics,2026-Q1,76.4,76.1,68.8,66.9,76.7,72.9
SUP009,Harbor Wire,2025-Q2,69.6,69.4,72.0,72.3,70.2,70.7
SUP009,Harbor Wire,2025-Q3,70.6,76.4,73.1,76.2,72.4,73.8
SUP009,Harbor Wire,2025-Q4,67.6,75.6,70.3,67.8,79.4,71.4
SUP009,Harbor Wire,2026-Q1,73.1,74.4,76.4,70.9,76.2,73.8
SUP010,Keystone Coatings,2025-Q2,57.5,62.4,62.2,57.4,59.6,59.5
SUP010,Keystone Coatings,2025-Q3,65.0,59.1,59.1,59.2,62.2,61.1
SUP010,Keystone Coatings,2025-Q4,67.8,67.4,63.2,63.7,66.8,65.9
SUP010,Keystone Coatings,2026-Q1,86.4,75.4,91.7,87.6,90.0,85.8
SUP011,Continental Freight,2025-Q2,95.7,89.4,97.0,88.6,93.1,92.5
SUP011,Continental Freight,2025-Q3,90.6,94.1,92.1,95.0,98.0,93.7
SUP011,Continental Freight,2025-Q4,93.6,87.3,94.3,94.5,86.0,91.5
SUP011,Continental Freight,2026-Q1,80.5,76.3,77.8,87.3,89.1,82.2
SUP012,Patriot Logistics,2025-Q2,84.0,83.7,85.2,83.5,91.1,85.1
SUP012,Patriot Logistics,2025-Q3,84.1,83.3,88.7,89.0,89.4,86.7
SUP012,Patriot Logistics,2025-Q4,93.0,88.9,94.5,91.2,87.4,91.1
SUP012,Patriot Logistics,2026-Q1,98.7,92.6,90.2,96.5,100,95.8
SUP013,Eagle Transport,2025-Q2,76.3,77.0,82.0,79.2,81.2,78.8
SUP013,Eagle Transport,2025-Q3,74.9,72.2,75.8,73.5,71.1,73.6
SUP013,Eagle Transport,2025-Q4,75.6,77.4,76.2,74.8,69.7,75.0
