transaction_id,date,initiative_id,initiative_name,category,rate_applied,baseline_rate,volume,amount_usd,savings_usd
TXN050002,2026-01-01,SAV-001,Steel Consolidation,raw-materials,641.8025,720,298.54,191603.72,23345.08
TXN050096,2026-01-01,SAV-002,Logistics RFP,logistics,2.6596,3.2,20472.51,54448.69,11062.35
TXN050097,2026-01-01,SAV-002,Logistics RFP,logistics,2.6936,3.2,14334.32,38610.92,7259.23
TXN050272,2026-01-01,SAV-004,Facilities Rebid,facilities,2.6093,2.8,26930.07,70268.63,5136.52
TXN050273,2026-01-01,SAV-004,Facilities Rebid,facilities,2.3812,2.8,15334.04,36513.42,6421.66
TXN050188,2026-01-02,SAV-003,IT License Rationalization,it-services,36.3274,45,1334.69,1616.19,11575.25
TXN050001,2026-01-03,SAV-001,Steel Consolidation,raw-materials,627.7292,720,247.36,155275.09,22824.09
TXN050003,2026-01-03,SAV-001,Steel Consolidation,raw-materials,642.587,720,303.68,195140.82,23508.78
TXN050098,2026-01-04,SAV-002,Logistics RFP,logistics,2.7353,3.2,18558.38,50762.74,8624.42
TXN050352,2026-01-04,SAV-005,Consulting Rate Card,professional-services,263.5675,285,438.48,115569.08,9397.71
TXN050354,2026-01-04,SAV-005,Consulting Rate Card,professional-services,269.2175,285,406.94,109555.37,6422.51
TXN050353,2026-01-06,SAV-005,Consulting Rate Card,professional-services,249.3402,285,418.67,104391.26,14929.7
TXN050189,2026-01-07,SAV-003,IT License Rationalization,it-services,36.496,45,1223.9,1488.92,10408.07
TXN050190,2026-01-08,SAV-003,IT License Rationalization,it-services,40.1968,45,1451.62,1945.02,6972.37
TXN050191,2026-01-08,SAV-003,IT License Rationalization,it-services,35.7707,45,1364.68,1627.19,12595.01
TXN050274,2026-01-09,SAV-004,Facilities Rebid,facilities,2.6588,2.8,18898.21,50246.56,2668.36
TXN050275,2026-01-09,SAV-004,Facilities Rebid,facilities,2.2742,2.8,27153.39,61752.24,14278.19
TXN050355,2026-01-10,SAV-005,Consulting Rate Card,professional-services,243.6481,285,372.0,90637.09,15382.91
TXN050004,2026-01-11,SAV-001,Steel Consolidation,raw-materials,638.2535,720,300.71,191929.21,24581.98
TXN050005,2026-01-11,SAV-001,Steel Consolidation,raw-materials,650.6441,720,201.22,130922.61,13955.78
TXN050099,2026-01-12,SAV-002,Logistics RFP,logistics,2.7044,3.2,16815.31,45475.32,8333.56
TXN050100,2026-01-12,SAV-002,Logistics RFP,logistics,2.7412,3.2,21387.62,58627.74,9813.06
TXN050006,2026-01-13,SAV-001,Steel Consolidation,raw-materials,696.7051,720,292.82,204009.19,6821.22
TXN050101,2026-01-14,SAV-002,Logistics RFP,logistics,2.7415,3.2,15722.61,43103.54,7209.04
TXN050276,2026-01-14,SAV-004,Facilities Rebid,facilities,2.377,2.8,24610.71,58499.66,10410.85
TXN050277,2026-01-15,SAV-004,Facilities Rebid,facilities,2.3181,2.8,17281.93,40061.24,8327.98
TXN050007,2026-01-16,SAV-001,Steel Consolidation,raw-materials,644.1697,720,276.43,178067.83,20961.76
TXN050356,2026-01-16,SAV-005,Consulting Rate Card,professional-services,243.8683,285,398.29,97130.31,16382.33
TXN050102,2026-01-17,SAV-002,Logistics RFP,logistics,2.7199,3.2,14720.88,40039.32,7068.02
TXN050192,2026-01-17,SAV-003,IT License Rationalization,it-services,35.109,45,1501.0,1756.62,14846.33
TXN050193,2026-01-18,SAV-003,IT License Rationalization,it-services,35.9924,45,1748.85,2098.18,15752.98
TXN050357,2026-01-18,SAV-005,Consulting Rate Card,professional-services,268.8132,285,349.37,93915.27,5655.19
TXN050008,2026-01-19,SAV-001,Steel Consolidation,raw-materials,681.0356,720,229.41,156236.38,8938.83
TXN050194,2026-01-20,SAV-003,IT License Rationalization,it-services,35.3465,45,1617.1,1905.29,15610.72
TXN050359,2026-01-21,SAV-005,Consulting Rate Card,professional-services,241.0814,285,336.01,81005.76,14757.07
TXN050278,2026-01-22,SAV-004,Facilities Rebid,facilities,2.3209,2.8,25150.37,58371.49,12049.11
TXN050358,2026-01-22,SAV-005,Consulting Rate Card,professional-services,248.8951,285,335.84,83588.93,12125.46
TXN050195,2026-01-23,SAV-003,IT License Rationalization,it-services,34.9523,45,1505.83,1754.41,15130.13
TXN050010,2026-01-24,SAV-001,Steel Consolidation,raw-materials,689.6463,720,233.49,161025.51,7087.3
TXN050103,2026-01-24,SAV-002,Logistics RFP,logistics,2.7133,3.2,20874.78,56639.54,10158.97
TXN050360,2026-01-25,SAV-005,Consulting Rate Card,professional-services,248.2343,285,295.95,73464.94,10880.82
TXN050009,2026-01-26,SAV-001,Steel Consolidation,raw-materials,695.6472,720,264.75,184172.6,6447.39
TXN050279,2026-01-26,SAV-004,Facilities Rebid,facilities,2.6285,2.8,21678.42,56981.73,3718.3
TXN050104,2026-01-27,SAV-002,Logistics RFP,logistics,2.6903,3.2,18959.92,51007.87,9664.16
TXN050196,2026-01-27,SAV-003,IT License Rationalization,it-services,34.8412,45,1014.33,1178.02,10304.41
TXN050280,2026-01-27,SAV-004,Facilities Rebid,facilities,2.4111,2.8,22083.75,53246.13,8588.8
TXN050106,2026-01-28,SAV-002,Logistics RFP,logistics,2.6389,3.2,17197.12,45381.48,9649.58
TXN050197,2026-01-29,SAV-003,IT License Rationalization,it-services,36.2275,45,1187.05,1433.46,10413.46
TXN050105,2026-01-30,SAV-002,Logistics RFP,logistics,2.643,3.2,15919.06,42074.08,8867.33
TXN050361,2026-01-30,SAV-005,Consulting Rate Card,professional-services,235.1737,285,303.41,71354.05,15117.79
TXN050011,2026-01-31,SAV-001,Steel Consolidation,raw-materials,650.0629,720,340.02,221034.39,23780.01
TXN050107,2026-01-31,SAV-002,Logistics RFP,logistics,2.7889,3.2,19697.28,54933.74,8097.81
TXN050281,2026-02-01,SAV-004,Facilities Rebid,facilities,2.4054,2.8,24939.18,59988.7,9840.87
TXN050108,2026-02-02,SAV-002,Logistics RFP,logistics,2.6965,3.2,17938.99,48372.49,9032.24
TXN050282,2026-02-02,SAV-004,Facilities Rebid,facilities,2.3285,2.8,17632.05,41056.23,8313.0
TXN050362,2026-02-02,SAV-005,Consulting Rate Card,professional-services,265.9572,285,464.57,123555.74,8846.73
TXN050012,2026-02-03,SAV-001,Steel Consolidation,raw-materials,645.1053,720,301.46,194473.44,22577.77
TXN050014,2026-02-04,SAV-001,Steel Consolidation,raw-materials,650.7375,720,242.32,157686.71,16783.7
TXN050013,2026-02-05,SAV-001,Steel Consolidation,raw-materials,638.5811,720,225.31,143878.71,18344.48
TXN050198,2026-02-05,SAV-003,IT License Rationalization,it-services,36.163,45,1565.87,1887.55,13837.63
TXN050363,2026-02-06,SAV-005,Consulting Rate Card,professional-services,247.8916,285,363.19,90031.75,13477.39
TXN050364,2026-02-06,SAV-005,Consulting Rate Card,professional-services,242.9569,285,306.12,74373.97,12870.24
TXN050199,2026-02-07,SAV-003,IT License Rationalization,it-services,36.0187,45,1724.26,2070.19,15486.04
TXN050284,2026-02-08,SAV-004,Facilities Rebid,facilities,2.6297,2.8,24631.69,64773.96,4195.12
TXN050365,2026-02-08,SAV-005,Consulting Rate Card,professional-services,245.0329,285,286.57,70219.08,11453.38
TXN050110,2026-02-09,SAV-002,Logistics RFP,logistics,2.7451,3.2,22735.92,62412.37,10341.73
TXN050200,2026-02-09,SAV-003,IT License Rationalization,it-services,34.2662,45,1491.72,1703.85,16011.9
TXN050283,2026-02-09,SAV-004,Facilities Rebid,facilities,2.3608,2.8,24451.86,57725.95,10738.46
TXN050109,2026-02-10,SAV-002,Logistics RFP,logistics,2.7681,3.2,20960.06,58019.54,9052.78
TXN050015,2026-02-11,SAV-001,Steel Consolidation,raw-materials,647.6182,720,314.49,203669.45,22763.35
TXN050201,2026-02-11,SAV-003,IT License Rationalization,it-services,33.6941,45,1009.98,1134.35,11418.76
TXN050016,2026-02-13,SAV-001,Steel Consolidation,raw-materials,682.1503,720,198.71,135550.09,7521.12
TXN050017,2026-02-13,SAV-001,Steel Consolidation,raw-materials,647.5414,720,323.18,209272.43,23417.18
TXN050111,2026-02-14,SAV-002,Logistics RFP,logistics,2.695,3.2,20342.36,54822.66,10273.03
TXN050366,2026-02-14,SAV-005,Consulting Rate Card,professional-services,248.4986,285,273.3,67914.67,9975.83
TXN050367,2026-02-15,SAV-005,Consulting Rate Card,professional-services,238.4979,285,441.88,105387.45,20548.34
TXN050018,2026-02-16,SAV-001,Steel Consolidation,raw-materials,654.3275,720,320.46,209685.79,21045.4
TXN050112,2026-02-16,SAV-002,Logistics RFP,logistics,2.6865,3.2,19517.91,52434.87,10021.5
TXN050202,2026-02-16,SAV-003,IT License Rationalization,it-services,36.7628,45,1642.81,2013.14,13532.13
TXN050285,2026-02-16,SAV-004,Facilities Rebid,facilities,2.3749,2.8,22204.66,52733.85,9438.15
TXN050019,2026-02-19,SAV-001,Steel Consolidation,raw-materials,643.072,720,254.82,163867.61,19602.8
TXN050113,2026-02-19,SAV-002,Logistics RFP,logistics,2.7003,3.2,15507.83,41875.79,7749.71
TXN050204,2026-02-19,SAV-003,IT License Rationalization,it-services,34.3347,45,1482.47,1696.67,15811.05
TXN050203,2026-02-20,SAV-003,IT License Rationalization,it-services,34.6209,45,1691.01,1951.48,17551.11
TXN050286,2026-02-21,SAV-004,Facilities Rebid,facilities,2.3374,2.8,18189.81,42516.86,8414.76
TXN050287,2026-02-21,SAV-004,Facilities Rebid,facilities,2.3477,2.8,27093.01,63606.26,12255.39
TXN050020,2026-02-22,SAV-001,Steel Consolidation,raw-materials,680.5708,720,200.38,136372.78,7900.83
TXN050115,2026-02-23,SAV-002,Logistics RFP,logistics,2.9236,3.2,19094.63,55825.06,5277.7
TXN050368,2026-02-24,SAV-005,Consulting Rate Card,professional-services,244.0824,285,278.57,67994.03,11398.41
TXN050021,2026-02-25,SAV-001,Steel Consolidation,raw-materials,653.28,720,338.03,220828.24,22553.37
TXN050114,2026-02-26,SAV-002,Logistics RFP,logistics,2.7104,3.2,19571.4,53046.32,9582.04
TXN050205,2026-02-26,SAV-003,IT License Rationalization,it-services,39.8657,45,1641.41,2181.2,8427.46
TXN050370,2026-02-26,SAV-005,Consulting Rate Card,professional-services,244.4719,285,439.84,107528.52,17825.88
TXN050288,2026-02-27,SAV-004,Facilities Rebid,facilities,2.355,2.8,27137.09,63907.85,12076.57
TXN050289,2026-02-27,SAV-004,Facilities Rebid,facilities,2.3456,2.8,21502.16,50435.47,9770.54
TXN050369,2026-02-27,SAV-005,Consulting Rate Card,professional-services,235.4413,285,425.72,100232.07,21098.13
TXN050207,2026-03-01,SAV-003,IT License Rationalization,it-services,41.8161,45,1433.75,1998.46,4564.91
TXN050206,2026-03-02,SAV-003,IT License Rationalization,it-services,39.6837,45,1141.34,1509.75,6067.68
TXN050022,2026-03-03,SAV-001,Steel Consolidation,raw-materials,645.1613,720,281.8,181806.45,21089.54
TXN050117,2026-03-03,SAV-002,Logistics RFP,logistics,2.6779,3.2,22652.18,60660.27,11825.79
TXN050372,2026-03-03,SAV-005,Consulting Rate Card,professional-services,249.2251,285,264.64,65954.93,9467.48
TXN050116,2026-03-04,SAV-002,Logistics RFP,logistics,2.7907,3.2,13472.14,37596.7,5514.21
TXN050371,2026-03-04,SAV-005,Consulting Rate Card,professional-services,239.1217,285,450.51,107726.72,20668.63
TXN050024,2026-03-05,SAV-001,Steel Consolidation,raw-materials,638.7313,720,224.18,143190.78,18218.82
TXN050290,2026-03-05,SAV-004,Facilities Rebid,facilities,2.6304,2.8,24756.03,65118.26,4198.82
TXN050023,2026-03-06,SAV-001,Steel Consolidation,raw-materials,692.9987,720,306.3,212265.5,8270.5
TXN050118,2026-03-06,SAV-002,Logistics RFP,logistics,3.0234,3.2,14984.81,45305.07,2646.6
TXN050291,2026-03-07,SAV-004,Facilities Rebid,facilities,2.3203,2.8,16081.66,37314.28,7714.61
TXN050292,2026-03-07,SAV-004,Facilities Rebid,facilities,2.4024,2.8,25611.81,61529.81,10182.13
TXN050209,2026-03-08,SAV-003,IT License Rationalization,it-services,40.0425,45,1228.92,1640.3,6092.42
TXN050208,2026-03-10,SAV-003,IT License Rationalization,it-services,34.8663,45,1368.48,1590.46,13867.83
TXN050373,2026-03-10,SAV-005,Consulting Rate Card,professional-services,245.7844,285,330.34,81192.42,12954.48
TXN050025,2026-03-12,SAV-001,Steel Consolidation,raw-materials,678.7499,720,270.76,183778.32,11168.87
TXN050026,2026-03-12,SAV-001,Steel Consolidation,raw-materials,653.496,720,333.4,217875.57,22172.45
TXN050119,2026-03-12,SAV-002,Logistics RFP,logistics,2.7255,3.2,15792.58,43042.68,7493.99
TXN050293,2026-03-12,SAV-004,Facilities Rebid,facilities,2.5792,2.8,16357.25,42188.62,3611.18
TXN050375,2026-03-13,SAV-005,Consulting Rate Card,professional-services,241.6963,285,285.14,68917.28,12347.62
TXN050120,2026-03-14,SAV-002,Logistics RFP,logistics,2.7429,3.2,21097.21,57867.54,9643.29
TXN050294,2026-03-14,SAV-004,Facilities Rebid,facilities,2.5681,2.8,19209.78,49332.64,4454.92
TXN050374,2026-03-14,SAV-005,Consulting Rate Card,professional-services,242.8161,285,424.72,103128.85,17916.37
TXN050211,2026-03-15,SAV-003,IT License Rationalization,it-services,36.9293,45,1363.08,1677.92,11001.02
TXN050376,2026-03-15,SAV-005,Consulting Rate Card,professional-services,248.9309,285,339.12,84417.45,12231.76
TXN050121,2026-03-16,SAV-002,Logistics RFP,logistics,2.9242,3.2,14049.13,41082.47,3874.85
TXN050210,2026-03-16,SAV-003,IT License Rationalization,it-services,35.6702,45,1840.3,2188.13,17169.57
TXN050295,2026-03-18,SAV-004,Facilities Rebid,facilities,2.3055,2.8,24629.02,56782.21,12179.94
TXN050027,2026-03-19,SAV-001,Steel Consolidation,raw-materials,645.0795,720,294.1,189717.88,22034.11
TXN050212,2026-03-19,SAV-003,IT License Rationalization,it-services,35.5517,45,1684.9,1996.7,15919.38
TXN050377,2026-03-20,SAV-005,Consulting Rate Card,professional-services,240.8761,285,291.99,70333.41,12883.74
TXN050122,2026-03-21,SAV-002,Logistics RFP,logistics,2.7686,3.2,12967.77,35902.57,5594.88
TXN050028,2026-03-22,SAV-001,Steel Consolidation,raw-materials,695.0572,720,212.84,147935.97,5308.83
TXN050296,2026-03-23,SAV-004,Facilities Rebid,facilities,2.3808,2.8,22114.86,52651.06,9270.08
TXN050214,2026-03-24,SAV-003,IT License Rationalization,it-services,35.0576,45,1392.11,1626.8,13840.9
TXN050029,2026-03-25,SAV-001,Steel Consolidation,raw-materials,650.8633,720,212.31,138184.79,14678.42
TXN050123,2026-03-25,SAV-002,Logistics RFP,logistics,2.7273,3.2,22993.63,62710.53,10869.18
TXN050213,2026-03-25,SAV-003,IT License Rationalization,it-services,34.9029,45,1816.58,2113.46,18342.13
