transaction_id,date,supplier_id,supplier_name,category,amount_usd,cost_center
TXN005287,2025-04-26,SUP009,Harbor Wire,raw-materials,17460.68,CC-200
TXN005431,2025-04-26,SUP013,Eagle Transport,logistics,43345.98,CC-200
TXN005548,2025-04-26,SUP016,Gateway Freight,logistics,26872.76,CC-300
TXN005580,2025-04-26,SUP017,Prairie Express,logistics,28956.43,CC-400
TXN005617,2025-04-26,SUP018,Valley Haulage,logistics,14259.66,CC-300
TXN006097,2025-04-26,SUP031,National Facilities Group,facilities,51355.84,CC-300
TXN006389,2025-04-26,SUP039,Eastside Landscaping,facilities,9755.2,CC-500
TXN005330,2025-04-27,SUP010,Keystone Coatings,raw-materials,12567.9,CC-500
TXN005761,2025-04-28,SUP022,CloudBridge Systems,it-services,43403.76,CC-200
TXN005951,2025-04-28,SUP027,Quantum Hosting,it-services,19867.15,CC-500
TXN005986,2025-04-28,SUP028,Agile Platforms,it-services,12352.63,CC-500
TXN006100,2025-04-28,SUP031,National Facilities Group,facilities,47333.5,CC-200
TXN006428,2025-04-28,SUP040,Heritage Painting,facilities,4332.12,CC-500
TXN006466,2025-04-28,SUP041,Whitfield Consulting,professional-services,104678.65,CC-100
TXN006570,2025-04-28,SUP044,Crestline Accounting,professional-services,40362.24,CC-300
TXN006605,2025-04-28,SUP045,Vanguard Staffing,professional-services,24024.4,CC-200
TXN006673,2025-04-28,SUP047,Blueprint Marketing,professional-services,11660.08,CC-300
TXN006744,2025-04-28,SUP049,Northstar Audit,professional-services,6026.38,CC-200
TXN006779,2025-04-28,SUP050,Clearpath Compliance,professional-services,4105.84,CC-500
TXN005150,2025-04-29,SUP005,Cascade Fasteners,raw-materials,38859.9,CC-100
TXN005394,2025-04-29,SUP012,Patriot Logistics,logistics,68894.58,CC-500
TXN005685,2025-04-29,SUP020,Bridgewater Cold Chain,logistics,18514.31,CC-400
TXN006316,2025-04-29,SUP037,ClearView Janitorial,facilities,12390.61,CC-200
TXN006676,2025-04-29,SUP047,Blueprint Marketing,professional-services,11606.32,CC-500
TXN006242,2025-04-30,SUP035,Cornerstone Electric,facilities,40043.38,CC-300
TXN006278,2025-04-30,SUP036,SafeGuard Fire Systems,facilities,11033.35,CC-400
TXN006313,2025-04-30,SUP037,ClearView Janitorial,facilities,10446.35,CC-200
TXN005116,2025-05-01,SUP004,Apex Electronics,raw-materials,54761.99,CC-500
TXN005223,2025-05-01,SUP007,Liberty Composites,raw-materials,31441.67,CC-500
TXN005428,2025-05-01,SUP013,Eagle Transport,logistics,43478.1,CC-200
TXN005429,2025-05-01,SUP013,Eagle Transport,logistics,38882.73,CC-400
TXN005686,2025-05-01,SUP020,Bridgewater Cold Chain,logistics,18512.62,CC-200
TXN005794,2025-05-01,SUP023,Nexus IT Services,it-services,30633.43,CC-100
TXN005911,2025-05-01,SUP026,CyberShield Security,it-services,40412.11,CC-100
TXN006025,2025-05-01,SUP029,Redstone Cloud,it-services,12824.34,CC-200
TXN005468,2025-05-02,SUP014,Horizon Carriers,logistics,60485.87,CC-200
TXN005619,2025-05-02,SUP018,Valley Haulage,logistics,15275.65,CC-400
TXN005989,2025-05-02,SUP028,Agile Platforms,it-services,12437.82,CC-500
TXN006314,2025-05-02,SUP037,ClearView Janitorial,facilities,12038.17,CC-200
TXN006426,2025-05-02,SUP040,Heritage Painting,facilities,4669.14,CC-100
TXN006743,2025-05-02,SUP049,Northstar Audit,professional-services,9949.75,CC-400
TXN005037,2025-05-03,SUP002,Heartland Polymers,raw-materials,69721.35,CC-100
TXN005038,2025-05-03,SUP002,Heartland Polymers,raw-materials,75358.38,CC-500
TXN005257,2025-05-03,SUP008,Frontier Plastics,raw-materials,26579.1,CC-200
TXN005289,2025-05-03,SUP009,Harbor Wire,raw-materials,23589.04,CC-200
TXN006098,2025-05-03,SUP031,National Facilities Group,facilities,39983.8,CC-400
TXN006534,2025-05-03,SUP043,Meridian Legal,professional-services,63935.29,CC-500
TXN006675,2025-05-03,SUP047,Blueprint Marketing,professional-services,8830.7,CC-500
TXN006781,2025-05-03,SUP050,Clearpath Compliance,professional-services,5356.86,CC-300
TXN005258,2025-05-04,SUP008,Frontier Plastics,raw-materials,22134.07,CC-100
TXN005579,2025-05-04,SUP017,Prairie Express,logistics,27152.34,CC-200
TXN005764,2025-05-04,SUP022,CloudBridge Systems,it-services,54757.42,CC-400
TXN006571,2025-05-04,SUP044,Crestline Accounting,professional-services,25984.11,CC-300
TXN005003,2025-05-05,SUP001,Great Lakes Steel,raw-materials,70713.8,CC-200
TXN005358,2025-05-05,SUP011,Continental Freight,logistics,142242.91,CC-100
TXN005653,2025-05-05,SUP019,Lakeshore Drayage,logistics,14240.94,CC-300
TXN006173,2025-05-05,SUP033,Greenfield Maintenance,facilities,48430.43,CC-400
TXN005004,2025-05-06,SUP001,Great Lakes Steel,raw-materials,111002.58,CC-400
TXN005117,2025-05-06,SUP004,Apex Electronics,raw-materials,60275.9,CC-500
TXN005470,2025-05-06,SUP014,Horizon Carriers,logistics,48562.69,CC-200
TXN005509,2025-05-06,SUP015,Summit Shipping,logistics,30301.82,CC-500
TXN005547,2025-05-06,SUP016,Gateway Freight,logistics,21928.41,CC-400
TXN005949,2025-05-06,SUP027,Quantum Hosting,it-services,12230.1,CC-100
TXN006706,2025-05-06,SUP048,Ironside Recruiting,professional-services,15208.7,CC-200
TXN006139,2025-05-07,SUP032,Metro Building Services,facilities,51810.5,CC-300
TXN006279,2025-05-07,SUP036,SafeGuard Fire Systems,facilities,11574.27,CC-300
TXN006280,2025-05-07,SUP036,SafeGuard Fire Systems,facilities,17992.56,CC-200
TXN006465,2025-05-07,SUP041,Whitfield Consulting,professional-services,126854.69,CC-200
TXN006500,2025-05-07,SUP042,Sterling Advisory,professional-services,54556.03,CC-300
TXN006674,2025-05-07,SUP047,Blueprint Marketing,professional-services,10305.44,CC-500
TXN005151,2025-05-08,SUP005,Cascade Fasteners,raw-materials,46195.95,CC-300
TXN005578,2025-05-08,SUP017,Prairie Express,logistics,22961.73,CC-300
TXN005795,2025-05-08,SUP023,Nexus IT Services,it-services,48526.26,CC-300
TXN005912,2025-05-08,SUP026,CyberShield Security,it-services,25655.14,CC-300
TXN006388,2025-05-08,SUP039,Eastside Landscaping,facilities,11456.64,CC-400
TXN006606,2025-05-08,SUP045,Vanguard Staffing,professional-services,21648.85,CC-500
TXN006641,2025-05-08,SUP046,Catalyst Training,professional-services,14346.03,CC-500
TXN005036,2025-05-09,SUP002,Heartland Polymers,raw-materials,60698.04,CC-300
TXN005194,2025-05-09,SUP006,Summit Metals,raw-materials,59878.41,CC-400
TXN005510,2025-05-09,SUP015,Summit Shipping,logistics,35748.51,CC-200
TXN005039,2025-05-10,SUP002,Heartland Polymers,raw-materials,58400.01,CC-400
TXN005652,2025-05-10,SUP019,Lakeshore Drayage,logistics,14884.51,CC-100
TXN005834,2025-05-10,SUP024,Pinnacle Software,it-services,30315.97,CC-300
TXN006208,2025-05-10,SUP034,Atlas HVAC,facilities,52304.71,CC-100
TXN006502,2025-05-10,SUP042,Sterling Advisory,professional-services,57896.07,CC-100
TXN005469,2025-05-11,SUP014,Horizon Carriers,logistics,40664.1,CC-300
TXN005724,2025-05-11,SUP021,TechForward Solutions,it-services,82166.48,CC-200
TXN005873,2025-05-11,SUP025,DataVault Analytics,it-services,32202.62,CC-100
TXN006059,2025-05-11,SUP030,Beacon Consulting,it-services,4971.56,CC-300
