invoice_number,vendor_id,what_for,amount_usd,invoice_date,approval_path
INV-2026-00260,VEN032,software licenses,57491.2,2025-04-26,cfo_over_25k
INV-2026-00338,VEN050,industrial consumables,8802.28,2025-04-26,manager_under_25k
INV-2026-00404,VEN032,software licenses,30783.96,2025-04-26,cfo_over_25k
INV-2026-00927,VEN011,market research,13397.56,2025-04-26,manager_under_25k
INV-2026-01560,VEN001,office supplies,17713.74,2025-04-26,manager_under_25k
INV-2026-02208,VEN032,software licenses,50415.7,2025-04-26,cfo_over_25k
INV-2026-02629,VEN028,strategy consulting,25756.52,2025-04-26,cfo_over_25k
INV-2026-02732,VEN001,office supplies,18417.05,2025-04-26,manager_under_25k
INV-2026-02965,VEN041,translation services,3501.29,2025-04-26,manager_under_25k
INV-2026-00538,VEN057,marketing services,12739.91,2025-04-27,manager_under_25k
INV-2026-01023,VEN038,marketing services,27063.99,2025-04-27,cfo_over_25k
INV-2026-01218,VEN079,software licenses,30263.2,2025-04-27,cfo_over_25k
INV-2026-01503,VEN004,legal advisory,42821.67,2025-04-27,cfo_over_25k
INV-2026-01827,VEN042,audit and tax,30049.42,2025-04-27,cfo_over_25k
INV-2026-01952,VEN061,software licenses,23423.98,2025-04-27,manager_under_25k
INV-2026-02452,VEN016,utilities,39665.63,2025-04-27,cfo_over_25k
INV-2026-02698,VEN052,IT support,17181.04,2025-04-27,manager_under_25k
INV-2026-02970,VEN001,office supplies,24349.11,2025-04-27,manager_under_25k
INV-2026-00644,VEN051,recruitment,31067.81,2025-04-28,cfo_over_25k
INV-2026-00667,VEN030,cloud hosting,29781.37,2025-04-28,cfo_over_25k
INV-2026-01477,VEN078,legal advisory,19212.98,2025-04-28,manager_under_25k
INV-2026-01510,VEN046,legal advisory,26997.25,2025-04-28,cfo_over_25k
INV-2026-01690,VEN003,marketing services,25539.94,2025-04-28,cfo_over_25k
INV-2026-01835,VEN012,insurance broking,13030.82,2025-04-28,manager_under_25k
INV-2026-02528,VEN022,legal advisory,23412.22,2025-04-28,manager_under_25k
INV-2026-02599,VEN015,fleet lease,32619.35,2025-04-28,cfo_over_25k
INV-2026-00428,VEN050,industrial consumables,11538.96,2025-04-29,manager_under_25k
INV-2026-00673,VEN055,catering,7643.49,2025-04-29,manager_under_25k
INV-2026-00733,VEN044,managed print,11061.81,2025-04-29,manager_under_25k
INV-2026-00938,VEN060,legal advisory,13941.96,2025-04-29,manager_under_25k
INV-2026-01603,VEN043,utilities,25965.92,2025-04-29,cfo_over_25k
INV-2026-01875,VEN051,recruitment,33540.71,2025-04-29,cfo_over_25k
INV-2026-01894,VEN013,audit and tax,32428.94,2025-04-29,cfo_over_25k
INV-2026-02460,VEN010,cloud hosting,40027.7,2025-04-29,cfo_over_25k
INV-2026-00145,VEN052,IT support,13728.96,2025-04-30,manager_under_25k
INV-2026-00479,VEN050,industrial consumables,13917.12,2025-04-30,manager_under_25k
INV-2026-00863,VEN067,insurance broking,18732.44,2025-04-30,manager_under_25k
INV-2026-01077,VEN026,cloud hosting,42528.46,2025-04-30,cfo_over_25k
INV-2026-01410,VEN059,corporate travel,7768.74,2025-04-30,manager_under_25k
INV-2026-01612,VEN004,legal advisory,38865.11,2025-04-30,cfo_over_25k
INV-2026-02003,VEN042,audit and tax,23660.76,2025-04-30,manager_under_25k
INV-2026-02005,VEN026,cloud hosting,25024.88,2025-04-30,cfo_over_25k
INV-2026-00284,VEN076,utilities,19013.06,2025-05-01,manager_under_25k
INV-2026-00578,VEN038,marketing services,13482.12,2025-05-01,manager_under_25k
INV-2026-00723,VEN071,IT support,12817.83,2025-05-01,manager_under_25k
INV-2026-00730,VEN032,software licenses,25949.25,2025-05-01,cfo_over_25k
INV-2026-01225,VEN054,marketing services,19440.55,2025-05-01,manager_under_25k
INV-2026-01273,VEN036,security services,21554.34,2025-05-01,manager_under_25k
INV-2026-01375,VEN043,utilities,14874.69,2025-05-01,manager_under_25k
INV-2026-01899,VEN034,legal advisory,20931.6,2025-05-01,manager_under_25k
INV-2026-02197,VEN029,HR advisory,15296.6,2025-05-01,manager_under_25k
INV-2026-02231,VEN037,catering,7605.42,2025-05-01,manager_under_25k
INV-2026-02281,VEN006,strategy consulting,46002.23,2025-05-01,cfo_over_25k
INV-2026-02548,VEN013,audit and tax,44424.28,2025-05-01,cfo_over_25k
INV-2026-02671,VEN016,utilities,25629.31,2025-05-01,cfo_over_25k
INV-2026-02882,VEN030,cloud hosting,21791.68,2025-05-01,manager_under_25k
INV-2026-02944,VEN069,audit and tax,13451.76,2025-05-01,manager_under_25k
INV-2026-02951,VEN043,utilities,24081.91,2025-05-01,manager_under_25k
INV-2026-00139,VEN023,IT support,19028.12,2025-05-02,manager_under_25k
INV-2026-00453,VEN075,training services,15012.01,2025-05-02,manager_under_25k
INV-2026-00620,VEN015,fleet lease,44781.97,2025-05-02,cfo_over_25k
INV-2026-01140,VEN026,cloud hosting,25329.18,2025-05-02,cfo_over_25k
INV-2026-01176,VEN033,audit and tax,33084.73,2025-05-02,cfo_over_25k
INV-2026-01758,VEN024,marketing services,31454.6,2025-05-02,cfo_over_25k
INV-2026-01861,VEN006,strategy consulting,99945.91,2025-05-02,cfo_over_25k
INV-2026-02159,VEN006,strategy consulting,99726.04,2025-05-02,cfo_over_25k
INV-2026-02217,VEN032,software licenses,48488.23,2025-05-02,cfo_over_25k
INV-2026-02308,VEN057,marketing services,21834.2,2025-05-02,manager_under_25k
INV-2026-02319,VEN008,telecoms,21303.89,2025-05-02,manager_under_25k
INV-2026-02710,VEN059,corporate travel,16576.4,2025-05-02,manager_under_25k
