INV_ID,INV_DATE,PO_ID,SUPPLIER_ID,SUPPLIER_NAME,ITEM_CODE,INV_QTY,INV_UNIT_PRICE,INV_AMOUNT,DUE_DATE,PAYMENT_DATE,PAYMENT_TERMS
INV-0000,2025-11-17,PO-0333,SUPP-08,Atlantic Steel Co,POLY-RES,2619,10.15,26582.85,2026-01-16,2026-01-11,Net 60
INV-0001,2026-02-26,PO-0373,SUPP-14,Redwood Office Products,PAPR-0501,173,38.50,6660.50,2026-04-12,2026-04-04,Net 45
INV-0002,2026-03-06,PO-0089,SUPP-19,Crestline Network Hardware,MNTR-2701,15,320.00,4800.00,2026-04-20,2026-04-05,Net 45
INV-0003,2025-12-04,PO-0275,SUPP-12,Liberty IT Hardware Corp,SVR-3050,2,1450.00,2900.00,2026-01-03,2026-01-06,Net 30
INV-0004,2026-03-27,PO-0367,SUPP-01,Cascade Cable Systems,MNTR-2701,54,320.00,17280.00,2026-05-26,,Net 60
INV-0005,2026-03-13,PO-9005,SUPP-04,Northwind Industrial LLC,MISC-0001,10,182.05,1820.50,2026-04-27,2026-04-24,Net 45
INV-0006,2026-03-19,PO-0314,SUPP-06,Heartland Logistics Inc,EXPED-HR,21,125.45,2634.45,2026-05-18,,Net 60
INV-0007,2026-01-20,PO-0113,SUPP-19,Crestline Network Hardware,SVR-3050,1,1450.00,1450.00,2026-02-19,2026-01-28,2/10 Net 30
INV-0008,2026-01-15,PO-0040,SUPP-18,Riverside Electronic Components,BRKT-1144,5693,23.10,131508.30,2026-03-16,2026-02-19,Net 60
INV-0009,2025-12-21,PO-0254,SUPP-09,Beacon Professional Services,CONS-HR,497,175.00,86975.00,2026-02-19,2026-02-10,Net 60
INV-0010,2026-03-17,PO-0128,SUPP-09,Beacon Professional Services,AUDIT-DAY,1,1850.00,1850.00,2026-05-01,2026-04-14,Net 45
INV-0011,2025-12-13,PO-0165,SUPP-04,Northwind Industrial LLC,RESI-100,5003,0.77,3852.31,2026-01-12,2025-12-19,2/10 Net 30
INV-0012,2026-04-25,PO-0107,SUPP-11,Patriot Freight Lines,EXPED-HR,33,121.33,4003.89,2026-06-24,,Net 60
INV-0013,2026-01-03,PO-0355,SUPP-08,Atlantic Steel Co,STEEL-T01,17,720.00,12240.00,2026-02-02,2026-01-29,Net 30
INV-0014,2026-04-25,PO-0084,SUPP-53,OfficeMax Local,CHAIR-EX,500,280.00,140000.00,2026-05-25,,2/10 Net 30
INV-0015,2026-03-07,PO-0369,SUPP-05,Summit Office Solutions,TONER-77,121,145.00,17545.00,2026-04-06,2026-03-15,2/10 Net 30
INV-0016,2025-12-21,PO-0240,SUPP-15,Magnolia Consulting LLC,CONS-HR,132,195.59,25817.88,2026-01-20,,Net 30
INV-0017,2025-12-16,PO-0051,SUPP-53,OfficeMax Local,PAPR-0501,72,40.40,2908.80,2026-01-30,2026-02-05,Net 45
INV-0018,2026-03-25,PO-0044,SUPP-12,Liberty IT Hardware Corp,RTR-A55,129,485.00,62565.00,2026-04-24,2026-04-11,Net 30
INV-0019,2026-04-25,PO-0375,SUPP-08,Atlantic Steel Co,STEEL-T01,2,720.00,1440.00,2026-06-24,,Net 60
INV-0020,2025-11-10,PO-0217,SUPP-03,Pinnacle Filtration LLC,LUBE-5G,82,62.00,5084.00,2026-01-09,2025-11-29,Net 60
INV-0021,2026-02-18,PO-0034,SUPP-13,Eagle Mechanical Supply,FILT-0088,2550,84.00,214200.00,2026-04-19,2026-03-18,Net 60
INV-0022,2026-04-25,PO-0146,SUPP-55,CloudNine Hosting,SVR-3050,3,1450.00,4350.00,2026-05-25,,Net 30
INV-0023,2026-01-18,PO-0296,SUPP-18,Riverside Electronic Components,BRKT-1144,3821,23.10,88265.10,2026-03-04,2026-02-21,Net 45
INV-0024,2026-04-06,PO-0243,SUPP-08,Atlantic Steel Co,POLY-RES,412,9.20,3790.40,2026-06-05,,Net 60
INV-0025,2026-04-25,PO-0073,SUPP-04,Northwind Industrial LLC,BRKT-1144,125,23.10,2887.50,2026-06-09,,Net 45
INV-0026,2026-02-02,PO-0039,SUPP-55,CloudNine Hosting,MNTR-2701,9,347.60,3128.40,2026-03-19,2026-03-24,Net 45
INV-0027,2026-04-25,PO-0212,SUPP-51,QuickParts Direct,BELT-V40,372,41.50,15438.00,2026-05-25,,Net 30
INV-0028,2025-11-27,PO-0365,SUPP-06,Heartland Logistics Inc,EXPED-HR,61,110.00,6710.00,2026-01-26,2025-12-23,Net 60
INV-0029,2026-04-25,PO-0252,SUPP-52,FastShip Express LLC,EXPED-HR,211,110.00,23210.00,2026-06-09,,Net 45
INV-0030,2026-02-12,PO-0170,SUPP-08,Atlantic Steel Co,POLY-RES,11721,10.02,117444.42,2026-04-13,,Net 60
INV-0031,2026-04-05,PO-0121,SUPP-18,Riverside Electronic Components,CHIP-A12,31,18.40,570.40,2026-06-04,,Net 60
INV-0032,2026-01-12,PO-0354,SUPP-10,Cornerstone Facilities Group,CLEAN-SF,12705,1.40,17787.00,2026-02-11,2026-01-21,2/10 Net 30
INV-0033,2026-02-10,PO-0265,SUPP-18,Riverside Electronic Components,CABL-2201,2791,14.26,39799.66,2026-04-11,2026-03-30,Net 60
INV-0034,2026-04-02,PO-0320,SUPP-03,Pinnacle Filtration LLC,FILT-0088,2778,84.00,233352.00,2026-05-17,,Net 45
INV-0035,2025-12-20,PO-0179,SUPP-12,Liberty IT Hardware Corp,LAPTOP-X1,9,1306.22,11755.98,2026-02-18,2026-01-23,Net 60
INV-0036,2026-02-19,PO-0372,SUPP-06,Heartland Logistics Inc,EXPED-HR,152,110.00,16720.00,2026-04-05,2026-03-10,Net 45
INV-0037,2026-04-23,PO-0091,SUPP-17,Sterling Building Services,HVAC-VST,2,425.00,850.00,2026-05-23,,Net 30
INV-0038,2026-03-07,PO-0362,SUPP-08,Atlantic Steel Co,POLY-RES,770,9.20,7084.00,2026-04-21,2026-04-09,Net 45
INV-0039,2026-01-01,PO-0049,SUPP-56,Ironclad Hardware,RESI-100,2773,0.85,2357.05,2026-01-31,2026-02-04,Net 30
INV-0040,2026-02-02,PO-0122,SUPP-17,Sterling Building Services,HVAC-VST,31,425.00,13175.00,2026-03-04,2026-02-08,2/10 Net 30
INV-0041,2025-12-07,PO-0102,SUPP-19,Crestline Network Hardware,SVR-3050,2,1450.00,2900.00,2026-01-06,2025-12-29,Net 30
INV-0042,2026-04-20,PO-0300,SUPP-14,Redwood Office Products,PAPR-0501,368,38.50,9200.00,2026-05-20,,2/10 Net 30
INV-0043,2026-02-17,PO-0174,SUPP-51,QuickParts Direct,BELT-V40,78,41.50,3237.00,2026-04-18,,Net 60
INV-0044,2025-12-17,PO-9044,SUPP-14,Redwood Office Products,MISC-0001,14,330.52,4627.28,2026-01-16,2026-01-01,Net 30
INV-0045,2025-12-13,PO-0294,SUPP-08,Atlantic Steel Co,POLY-RES,30036,9.20,276331.20,2026-01-27,2026-01-08,Net 45
INV-0046,2026-02-16,PO-0345,SUPP-02,Globex Supply Co,CABL-2201,530,12.80,6784.00,2026-03-18,,Net 30
INV-0047,2025-11-27,PO-0218,SUPP-05,Summit Office Solutions,CHAIR-EX,87,280.00,24360.00,2025-12-27,2025-12-14,Net 30
INV-0048,2025-12-02,PO-0230,SUPP-56,Ironclad Hardware,BRKT-1144,121,23.10,2795.10,2026-01-31,2025-12-21,Net 60
INV-0049,2025-12-13,PO-0183,SUPP-15,Magnolia Consulting LLC,LEGAL-HR,4,295.00,1180.00,2026-01-27,2026-01-02,Net 45
INV-0050,2026-03-13,PO-0118,SUPP-02,Globex Supply Co,RESI-100,78001,0.85,66300.85,2026-05-12,,Net 60
INV-0051,2026-04-25,PO-0188,SUPP-18,Riverside Electronic Components,RESI-100,24450,0.85,20782.50,2026-05-25,,Net 30
INV-0052,2026-04-17,PO-0006,SUPP-02,Globex Supply Co,BRKT-1144,1376,24.15,33230.40,2026-06-16,,Net 60
INV-0053,2026-04-24,PO-0339,SUPP-02,Globex Supply Co,CABL-2201,1666,12.80,21324.80,2026-06-23,,Net 60
INV-0054,2026-02-21,PO-0134,SUPP-19,Crestline Network Hardware,MNTR-2701,8,320.00,2560.00,2026-04-22,,Net 60
INV-0055,2026-02-05,PO-0226,SUPP-07,Acme Components Inc,FILT-0088,1039,84.00,87276.00,2026-03-22,2026-02-25,Net 45
