entry_id,initiative_id,initiative_name,week_ending,realized_savings_usd,realized_cumulative_usd,target_cumulative_usd,variance_usd,category,stage
SAV-0091,INIT-008,Temp Staffing Consolidation,2025-10-01,47446.02,47446.02,36538.46,10907.56,professional-services,execution
SAV-0092,INIT-008,Temp Staffing Consolidation,2025-10-08,36747.31,84193.33,36538.46,47654.87,professional-services,execution
SAV-0093,INIT-008,Temp Staffing Consolidation,2025-10-15,27569.94,111763.27,73076.92,38686.35,professional-services,execution
SAV-0094,INIT-008,Temp Staffing Consolidation,2025-10-22,26609.86,138373.13,109615.38,28757.75,professional-services,execution
SAV-0095,INIT-008,Temp Staffing Consolidation,2025-10-29,27980.77,166353.9,146153.85,20200.05,professional-services,execution
SAV-0028,INIT-003,IT Services Rationalization,2025-11-01,27697.24,27697.24,36538.46,-8841.22,it-services,execution
SAV-0096,INIT-008,Temp Staffing Consolidation,2025-11-05,39332.47,205686.37,182692.31,22994.06,professional-services,execution
SAV-0029,INIT-003,IT Services Rationalization,2025-11-08,44156.61,71853.85,36538.46,35315.39,it-services,execution
SAV-0097,INIT-008,Temp Staffing Consolidation,2025-11-12,42941.74,248628.11,219230.77,29397.34,professional-services,execution
SAV-0030,INIT-003,IT Services Rationalization,2025-11-15,38812.46,110666.31,73076.92,37589.39,it-services,execution
SAV-0098,INIT-008,Temp Staffing Consolidation,2025-11-19,34831.97,283460.08,255769.23,27690.85,professional-services,execution
SAV-0031,INIT-003,IT Services Rationalization,2025-11-22,43271.66,153937.97,109615.38,44322.59,it-services,execution
SAV-0099,INIT-008,Temp Staffing Consolidation,2025-11-26,26969.65,310429.73,292307.69,18122.04,professional-services,execution
SAV-0032,INIT-003,IT Services Rationalization,2025-11-29,41574.89,195512.86,146153.85,49359.01,it-services,execution
SAV-0100,INIT-008,Temp Staffing Consolidation,2025-12-03,33943.19,344372.92,328846.15,15526.77,professional-services,execution
SAV-0033,INIT-003,IT Services Rationalization,2025-12-06,37332.69,232845.55,182692.31,50153.24,it-services,execution
SAV-0101,INIT-008,Temp Staffing Consolidation,2025-12-10,47414.97,391787.89,365384.62,26403.27,professional-services,execution
SAV-0034,INIT-003,IT Services Rationalization,2025-12-13,46910.61,279756.16,219230.77,60525.39,it-services,execution
SAV-0102,INIT-008,Temp Staffing Consolidation,2025-12-17,37176.74,428964.63,401923.08,27041.55,professional-services,execution
SAV-0035,INIT-003,IT Services Rationalization,2025-12-20,33875.56,313631.72,255769.23,57862.49,it-services,execution
SAV-0103,INIT-008,Temp Staffing Consolidation,2025-12-24,46865.95,475830.58,438461.54,37369.04,professional-services,execution
SAV-0036,INIT-003,IT Services Rationalization,2025-12-27,37679.35,351311.07,292307.69,59003.38,it-services,execution
SAV-0104,INIT-008,Temp Staffing Consolidation,2025-12-31,44447.86,520278.44,475000.0,45278.44,professional-services,execution
SAV-0060,INIT-005,Professional Services Rate Card,2026-01-01,32111.77,32111.77,34615.38,-2503.61,professional-services,negotiation
SAV-0037,INIT-003,IT Services Rationalization,2026-01-03,43760.03,395071.1,328846.15,66224.95,it-services,execution
SAV-0105,INIT-008,Temp Staffing Consolidation,2026-01-07,25828.62,546107.06,511538.46,34568.6,professional-services,execution
SAV-0061,INIT-005,Professional Services Rate Card,2026-01-08,44782.41,76894.18,34615.38,42278.8,professional-services,negotiation
SAV-0038,INIT-003,IT Services Rationalization,2026-01-10,39136.78,434207.88,365384.62,68823.26,it-services,execution
SAV-0106,INIT-008,Temp Staffing Consolidation,2026-01-14,41377.36,587484.42,548076.92,39407.5,professional-services,execution
SAV-0001,INIT-001,Direct Materials Consolidation,2026-01-15,58350.71,58350.71,53846.15,4504.56,direct-materials,execution
